"Constituency name, electorate, 2001 result",Turnout,Candidate (* = incumbent MP),Party,Votes,Percent share,* = lost deposit,Change 2001-05,
, ,"Gurney, K.J.",OF,149,0.4,*,, 
, , , ,-----,---,, , 
,, , ,6'487,16.6,, , 
2001: Lab,,,,,,,,
,, , , , , , , 
Luton South [377],54.1,"Moran, M. Ms.*",Lab,16'610,42.7,,-,12.5
71'927, ,"Stay, R.C.",Con,10'960,28.2,,-,1.3
, ,"Hussain, Q.",LD,8'778,22.6,,+,11.6
, ,"Lawman, C.S.",UKIP,957,2.5,*,+,1
, ,"Scheimann, M.",Grn,790,2,*,+,0
, ,"Ilyas, M.",Resp,725,1.9,*,,
, ,"Lynn, A.L.",WRP,98,0.3,*,, 
, , , ,-----,---,, , 
,, , ,5'650,14.5,, , 
2001: Lab,, , , , , , , 
Macclesfield [378],63.1,"Winterton, N.R.*",Con,22'628,49.6,,+,0.7
72'267, ,"Carter, S.F.",Lab,13'227,29,,-,4.1
, ,"O'Brien, C.A. Ms.",LD,8'918,19.5,,+,1.5
, ,"Scott, J.",Ver,848,1.9,*,, 
, , , ,-----,---,, , 
,, , ,9'401,20.6,, , 
2001: Con,, , , , , , , 
Maidenhead [379],73.3,"May, T.M. Ms.*",Con,23'312,50.8,,+,5.8
62'570, ,"Newbound, K.D. Ms.",LD,17'081,37.3,,-,0.2
, ,"Pritchard, J. Ms.",Lab,4'144,9,,-,6.1
, ,"Rait, T.S.",BNP,704,1.5,*,,
, ,"Lewis, D.A.",UKIP,609,1.3,*,-,0.4
, , , ,-----,---,, , 
,, , ,6'231,13.6,, , 
2001: Con,, , , , , , , 
Maidstone and The Weald [380],65.8,"Widdecombe, A.N. Ms.*",Con,25'670,52.7,,+,3
74'055, ,"Breeze, E.A. Ms.",Lab,10'814,22.2,,-,4.8
, ,"Corney, M.B.",LD,10'808,22.2,,+,2.3
, ,"Robertson, A.",UKIP,1'463,3,*,+,0.9
, , , ,-----,---,, , 
,, , ,14'856,30.5,, , 
2001: Con,, , , , , , , 
Makerfield [381],51.5,"McCartney, I.*",Lab,22'494,63.2,,-,5.3
69'039, ,"Ranger, K.S.",Con,4'345,12.2,,-,5.4
, ,"Beswick, T.R.",LD,3'789,10.6,,-,0.8
, ,"Franzen, P.R.",CAP,2'769,7.8,, , 
, ,"Shambley, D.",BNP,1'221,3.4,*,,
, ,"Atherton, G.",UKIP,962,2.7,*,,
, , , ,-----,---,, , 
,, , ,18'149,51,, , 
2001: Lab,, , , , , , , 
Maldon and Chelmsford East [382],66.2,"Whittingdale, J.F.L.*",Con,23'732,51.5,,+,2.2
69'620, ,"Tibballs, S.J. Ms.",Lab,11'159,24.2,,-,5.9
, ,"Lambert, M.M.",LD,9'270,20.1,,+,4.2
, ,"Pryke, J.C.",UKIP,1'930,4.2,*,+,1.6
, , , ,-----,---,, , 
,, , ,12'573,27.3,, , 
2001: Con,, , , , , , , 
Manchester Blackley [383],46.4,"Stringer, G.E.*",Lab,17'187,62.3,,-,6.6
59'416, ,"Donaldson, I.C.",LD,5'160,18.7,,+,7.3
, ,"Ahmed, A.",Con,3'690,13.4,,-,1
, ,"Bullock, R.P.",UKIP,1'554,5.6,, ,
, , , ,-----,---,, , 
,, , ,12'027,43.6,, , 
2001: Lab,, , , , , , , 
Manchester Central [384],42.8,"Lloyd, A.J.*",Lab,16'993,58.1,,-,10.6
68'402, ,"Ramsbottom, M.S.",LD,7'217,24.7,,+,9
, ,"Jackson, T.C.",Con,2'504,8.6,,-,0.4
, ,"Durrant, S.J.",Grn,1'292,4.4,*,+,0.5
, ,"Kemp, R.W.",NF,421,1.4,*,, 
, ,"O'Connor, D.P.",IPL,382,1.3,*,, 
, ,"Whittaker, J.",UKIP,272,0.9,*,,
, ,"Sinclair, R.",SL,183,0.6,*,,
, , , ,-----,---,, , 
,, , ,9'776,33.4,, , 
2001: Lab,, , , , , , , 
Manchester Gorton [385],45.9,"Kaufman, G.B.*",Lab,15'480,53.2,,-,9.6
63'496, ,"Afzal, Q.H.",LD,9'672,33.2,,+,11.9
, ,"Byrne, A.L. Ms.",Con,2'848,9.8,,-,0.2
, ,"Beaman, G.R.",UKIP,783,2.7,*,+,1
, ,"Waller, D.A.",WRP,181,0.6,*,, 
, ,"Kay, M.R.",RP,159,0.5,*,, 
, , , ,-----,---,, , 
,, , ,5'808,19.9,, , 
2001: Lab,, , , , , , , 
Manchester Withington [386],56.2,"Leech, J.",LD,15'872,42.4,,+,20.4
66'665, ,"Bradley, K.J.C.*",Lab,15'205,40.6,,-,14.3
, ,"Bradley, K.A. Ms.",Con,3'919,10.5,,-,4.8
, ,"Candeland, B.A.",Grn,1'595,4.3,*,-,0.1
, ,"Gutfreund-Walmsley, R.",UKIP,424,1.1,*,,
, ,"Benett, I.J.",Ind,243,0.6,*,, 
, ,"Zalzala, Y. Ms.",Ind,152,0.4,*,, 
, ,"Reed, R.J.A.",ThP,47,0.1,*,, 
, , , ,-----,---,, , 
,, , ,667,1.8,, , 
2001: Lab,, , , , , , , 
Mansfield [387],55.4,"Meale, J.A.*",Lab,18'400,48.1,,-,9
69'131, ,"Wright, A.M. Ms.",Con,7'035,18.4,,-,8.8
, ,"Rickersey, S.E.",Ind,6'491,17,, , 
, ,"Shelley, R.P.",LD,5'316,13.9,,-,1.8
, ,"Harvey, M.J.",Ver,1'034,2.7,*,, 
, , , ,-----,---,, , 
,, , ,11'365,29.7,, , 
2001: Lab,, , , , , , , 
Medway [388],62.6,"Marshall-Andrews, R.G.*",Lab,17'333,42.2,,-,6.8
65'625, ,"Reckless, M.J.",Con,17'120,41.7,,+,2.5
, ,"Juby, G.W.",LD,5'152,12.5,,+,3.2
, ,"Oakley, R.N.",UKIP,1'488,3.6,*,+,1.1
, , , ,-----,---,, , 
,, , ,213,0.5,, , 
2001: Lab,, , , , , , , 
Meirionnydd Nant Conwy [389],61.8,"Llwyd, E.*",PC,10'597,51.3,,+,1.7
33'392, ,"Jones, R.L.",Lab,3'983,19.3,,-,3.4
, ,"Munford, D.N.",Con,3'402,16.5,,-,2.3
, ,"Fawcett, A.F.",LD,2'192,10.6,,+,1.7
, ,"Wykes, F.C.",UKIP,466,2.3,*,,
, , , ,-----,---,, , 
,, , ,6'614,32,, , 
2001: PC,, , , , , , , 
Meriden [390],60.7,"Spelman, C.A. Ms.*",Con,22'416,48.2,,+,0.5
76'569, ,"Brown, J.E.",Lab,15'407,33.1,,-,6.1
, ,"Laitinen, W.J.P.",LD,7'113,15.3,,+,4.2
, ,"Brookes, D.V.",UKIP,1'567,3.4,*,+,1.3
, , , ,-----,---,, , 
,, , ,7'009,15.1,, , 
2001: Con,, , , , , , , 
Merthyr Tydfil and Rhymney [391],55.5,"Havard, D.S.*",Lab,18'129,60.5,,-,1.3
54'044, ,"Rees, C.J.",LD,4'195,14,,+,6.5
, ,"Turner, N.G.",PC,2'972,9.9,,-,4.8
, ,"Berry, R.M.H.",Con,2'680,8.9,,+,1.8
, ,"Greer, N.",FW,1'030,3.4,*,, 
, ,"Parry, W.G.",UKIP,699,2.3,*,,
, ,"Marsden, M.R. Ms.",SL,271,0.9,*,,
, , , ,-----,---,, , 
,, , ,13'934,46.5,, , 
2001: Lab,, , , , , , , 
Middlesbrough [392],49.3,"Bell, S.*",Lab,18'562,57.8,,-,9.8
65'202, ,"Michna, J.",LD,5'995,18.7,,+,8.2
, ,"Flynn-Macleod, C.J. Ms.",Con,5'263,16.4,,-,2.8
, ,"Armes, R.",BNP,819,2.5,*,,
, ,"Landers, M.A.",UKIP,768,2.4,*,,
, ,"Elder, B.J. Ms.",Ind,503,1.6,*,, 
, ,"Arnott, D.",,230,0.7,*, ,
, , , ,-----,---,, , 
,, , ,12'567,39.1,, , 
2001: Lab,, , , , , , , 
Middlesbrough South and Cleveland East [393],61.3,"Kumar, A.*",Lab,21'945,50.2,,-,5.1
71'288, ,"Brooks, M.J.",Con,13'945,31.9,,-,2.1
, ,"Minns, C.",LD,6'049,13.8,,+,3.2
, ,"Groves, G.M.",BNP,1'099,2.5,*,,
, ,"Bull, C.E. Ms.",UKIP,658,1.5,*,,
, , , ,-----,---,, , 
,, , ,8'000,18.3,, , 
2001: Lab,, , , , , , , 
Midlothian [394],62.6,"Hamilton, D.*",Lab,17'153,45.5,,-,5
60'193, ,"Mackintosh, H.F.D.",LD,9'888,26.2,,+,9
, ,"Beattie, C.",SNP,6'400,17,,-,2.2
, ,"McGill, I.",Con,3'537,9.4,,+,0.2
, ,"Gilfillan, N.V.",SSP,726,1.9,*,-,1.2
, , , ,-----,---,, , 
,, , ,7'265,19.3,, , 
2001: Lab,, , , , , , , 
Milton Keynes North East [395],64.8,"Lancaster, J.M.",Con,19'674,39.3,,+,1.2
77'294, ,"White, B.A.R.*",Lab,18'009,35.9,,-,6
, ,"Carr, J.C. Ms.",LD,9'789,19.5,,+,1.8
, ,"Phillips, M.S.",UKIP,1'400,2.8,*,+,0.6
, ,"Richardson, G.P.",Grn,1'090,2.2,*,,
, ,"Vyas, A.M.",Ind,142,0.3,*,, 
, , , ,-----,---,, , 
,, , ,1'665,3.3,, , 
2001: Lab,, , , , , , , 
Milton Keynes South West [396],60.5,"Starkey, P.M. Ms.*",Lab,20'862,42.8,,-,6.7
80'460, ,"Stewart, I.A.",Con,16'852,34.6,,+,0.4
, ,"Stuart, N.",LD,7'909,16.2,,+,5.6
, ,"Harlock, G.",UKIP,1'750,3.6,*,+,1.7
, ,"Francis, A.H.",Grn,1'336,2.7,*,+,0.6
, , , ,-----,---,, , 
,, , ,4'010,8.2,, , 
2001: Lab,, , , , , , , 
Mitcham and Morden [397],61.2,"McDonagh, S.A. Ms.*",Lab,22'489,56.4,,-,4
65'148, ,"Shellhorn, D.A.",Con,9'929,24.9,,+,0.8
, ,"Christie-Smith, J.A.E. Ms.",LD,5'583,14,,+,3.9
, ,"Walsh, T.J.",Grn,1'395,3.5,*,+,1.1
, ,"Roberts, A.K.J.",Ver,286,0.7,*,, 
, ,"Alagaratnam, R. Ms.",,186,0.5,*, ,
, , , ,-----,---,, , 
,, , ,12'560,31.5,, , 
2001: Lab,, , , , , , , 
Mole Valley [398],71.4,"Beresford, A.P.*",Con,27'060,54.8,,+,4.2
69'178, ,"Butt, N.M.",LD,15'063,30.5,,+,1.5
, ,"Bi, F. Ms.",Lab,5'310,10.7,,-,5.9
, ,"Payne, D.G.",UKIP,1'475,3,*,+,0.2
, ,"Meekins, R.W.",Ver,507,1,*,, 
, , , ,-----,---,, , 
,, , ,11'997,24.3,, , 
2001: Con,, , , , , , , 
Monmouth [399],73.4,"Davies, D.T.C.",Con,21'396,46.9,,+,4.9
62'233, ,"Edwards, H.W.E.*",Lab,16'869,37,,-,5.8
, ,"Hobson, P.A.D.",LD,5'852,12.8,,+,1.4
, ,"Clark, J.T.",PC,993,2.2,*,-,0.2
, ,"Bufton, J.A.",UKIP,543,1.2,*,-,0.3
, , , ,-----,---,, , 
,, , ,4'527,9.9,, , 
2001: Lab,, , , , , , , 
Montgomeryshire [400],64.4,"…pik, L.*",LD,15'419,51.2,,+,1.8
46'766, ,"Baynes, S.R.M.",Con,8'246,27.4,,-,0.5
, ,"Tinline, D.P.",Lab,3'454,11.5,,-,0.4
, ,"Ap Gwynn, E.E. Ms.",PC,2'078,6.9,,+,0.1
, ,"Easton, C.G.",UKIP,900,3,*,+,0.3
, , , ,-----,---,, , 
,, , ,7'173,23.8,, , 
2001: LD,, , , , , , , 
Moray [401],59.2,"Robertson, A.*",SNP,14'196,36.6,,+,7.2
65'498,,"Halcro Johnston, J.W.",Con,8'520,22,,-,0.9
, ,"Hutchens, K.",Lab,7'919,20.4,,-,3.9
, ,"Gorn, L.J. Ms.",LD,7'460,19.2,,+,1.3
, ,"Anderson, N. Ms.",SSP,698,1.8,*,-,0.6
, , , ,-----,---,, , 
, , , ,5'676,14.6,, , 
2001: SNP,, , , , , , , 
Morecambe and Lunesdale [402],61.6,"Smith, G. Ms.*",Lab,20'331,48.8,,-,0.7
67'590, ,"Airey, J.",Con,15'563,37.4,,+,0
, ,"Stone, A.P.T.",LD,5'741,13.8,,+,4.6
, , , ,-----,---,, , 
,, , ,4'768,11.5,, , 
2001: Lab,, , , , , , , 
Morley and Rothwell [403],58.8,"Challen, C.R.*",Lab,20'570,48.4,,-,8.6
72'248, ,"Vineall, N.E.J.",Con,8'227,19.4,,-,6.2
, ,"Golton, B.S.",LD,6'819,16,,+,1.9
, ,"Finnigan, R.P.",Ind,4'608,10.8,, , 
, ,"Beverley, C.J.",BNP,2'271,5.3,, ,
, , , ,-----,---,, , 
,, , ,12'343,29,, , 
2001: Lab,, , , , , , , 
Motherwell and Wishaw [404],56.7,"Roy, F.*",Lab,21'327,57.5,,+,0.7
65'467, ,"MacQuarrie, I.",SNP,6'105,16.5,,-,4
, ,"Snowden, C.",LD,4'464,12,,+,3.3
, ,"Finnie, P.",Con,3'440,9.3,,-,0.2
, ,"MacEwan, G.J.",SSP,1'019,2.7,*,-,1.4
, ,"Carter, D.E. Ms.",FSP,384,1,*,, 
, ,"Thompson, C.G. Ms.",OCV,370,1,*,, 
, , , ,-----,---,, , 
,, , ,15'222,41,, , 
2001: Lab,, , , , , , , 
Na h-Eileanan an Iar  [405],65.4,"MacNeil, A.B.",SNP,6'213,44.9,,+,8
21'169, ,"MacDonald, C.A.*",Lab,4'772,34.5,,-,10.5
, ,"Davis, J.M.E. Ms.",LD,1'096,7.9,,+,1.5
, ,"Hargreaves, J.G.",OCV,1'048,7.6,, , 
, ,"MacIver, A.K.",Con,610,4.4,*,-,5.1
, ,"Telfer, J.L. Ms.",SSP,97,0.7,*,-,1.5
, , , ,-----,---,, , 
,, , ,1'441,10.4,, , 
2001: Lab,, , , , , , , 
Neath [406],62.5,"Hain, P.G.*",Lab,18'835,52.6,,-,8.1
57'278, ,"Owen, G.D.",PC,6'125,17.1,,-,1.3
, ,"Ramsay Waye, S. Ms.",LD,5'112,14.3,,+,4.7
, ,"Lloyd Davies, H.L.",Con,4'136,11.5,,+,2.1
, ,"Jay, S.H. Ms.",Grn,658,1.8,*,,
, ,"Brienza, G.",Ind,360,1,*,, 
, ,"Tabram, P. Ms.",LCA,334,0.9,*,, 
, ,"Falconer, H. Ms.",Resp,257,0.7,*,,
, , , ,-----,---,, , 
,, , ,12'710,35.5,, , 
2001: Lab,, , , , , , , 
New Forest East [407],66.6,"Lewis, J.M.*",Con,21'975,48.6,,+,6.1
67'963, ,"Dash, B.D.",LD,15'424,34.1,,+,0.7
, ,"Roberts, S.J.",Lab,5'492,12.1,,-,9.5
, ,"Davies, K.S. Ms.",UKIP,2'344,5.2,,+,2.7
, , , ,-----,---,, , 
,, , ,6'551,14.5,, , 
2001: Con,, , , , , , , 
New Forest West [408],67.1,"Swayne, D.A.*",Con,26'004,56.4,,+,0.7
68'691, ,"Kaushik, H.R.M.",LD,8'719,18.9,,-,6.9
, ,"Hurne, J.C. Ms.",Lab,7'590,16.5,,+,1.8
, ,"Lawrence, B.M.",UKIP,1'917,4.2,*,+,0.4
, ,"Richards, J.E. Ms.",Grn,1'837,4,*,,
, , , ,-----,---,, , 
,, , ,17'285,37.5,, , 
2001: Con,, , , , , , , 
Newark [409],64.1,"Mercer, P.J.*",Con,21'946,48,,+,1.5
71'244, ,"Reece, J.",Lab,15'482,33.9,,-,3.6
, ,"Thompstone, S.R.",LD,7'276,15.9,,+,2.7
, ,"Creasy, C.J. Ms.",UKIP,992,2.2,*,,
, , , ,-----,---,, , 
,, , ,6'464,14.1,, , 
2001: Con,, , , , , , , 
Newbury [410],72.6,"Benyon, R.H.R.",Con,26'771,49,,+,5.5
75'326, ,"Rendel, D.D.*",LD,23'311,42.6,,-,5.6
, ,"Van Nooijen, O.R.",Lab,3'239,5.9,,-,1
, ,"McMahon, D.J.",UKIP,857,1.6,*,+,0.2
, ,"Cornish, N.J.",Ind,409,0.7,*,, 
, ,"Singleton, B.C.",,86,0.2,*, ,
, , , ,-----,---,, , 
,, , ,3'460,6.3,, , 
2001: LD,, , , , , , , 
Newcastle-under-Lyme [411],58.2,"Farrelly, C.P.*",Lab,18'053,45.4,,-,8
68'325, ,"Lefroy, J.J.E.",Con,9'945,25,,-,2.6
, ,"Johnson, T.G.",LD,7'528,18.9,,+,3.4
, ,"Nixon, D.E.",UKIP,1'436,3.6,*,+,2.1
, ,"Dawson, J.L.",BNP,1'390,3.5,*,,
, ,"Dobson, A.N.H.",Grn,918,2.3,*,,
, ,"Harvey-Lover, M.J. Ms.",Ver,518,1.3,*,, 
, , , ,-----,---,, , 
,, , ,8'108,20.4,, , 
2001: Lab,, , , , , , , 
Newcastle upon Tyne Central [412],57.3,"Cousins, J.M.*",Lab,16'211,45.1,,-,9.8
62'734, ,"Stone, G.M.",LD,12'229,34,,+,12.4
, ,"Morton, W. Ms.",Con,5'749,16,,-,5.3
, ,"Hulm, J.H.",Grn,1'254,3.5,*,,
, ,"Harding, C.C.",NACV,477,1.3,*,, 
, , , ,-----,---,, , 
,, , ,3'982,11.1,, , 
2001: Lab,, , , , , , , 
Newcastle upon Tyne East and Wallsend [413],55.7,"Brown, N.H.*",Lab,17'462,55.1,,-,8
56'900, ,"Ord, D.",LD,9'897,31.2,,+,11.6
, ,"Dias, N. Ms.",Con,3'532,11.1,,-,0.7
, ,"Hopwood, W.R.",S Alt,582,1.8,*,, 
, ,"Levy, M.R.",Comm,205,0.6,*,, 
, , , ,-----,---,, , 
,, , ,7'565,23.9,, , 
2001: Lab,, , , , , , , 
Newcastle upon Tyne North [414],62.4,"Henderson, D.J.*",Lab,19'224,50,,-,10.1
61'599, ,"Beadle, R.W.A.L.",LD,12'201,31.7,,+,12.3
, ,"Hudson, N.",Con,6'022,15.7,,-,4.7
, ,"Wood, R.",NF,997,2.6,*,, 
, , , ,-----,---,, , 
,, , ,7'023,18.3,, , 
2001: Lab,, , , , , , , 
Newport East [415],57.9,"Morden, J.E. Ms.",Lab,14'389,45.2,,-,9.5
54'941, ,"Townsend, C.E.",LD,7'551,23.7,,+,9.7
, ,"Collings, M.G.B.",Con,7'459,23.4,,+,0.3
, ,"Asghar, M.O.",PC,1'221,3.8,*,-,1
, ,"Thomas, R.O.",UKIP,945,3,*,+,1.7
, ,"Screen, E.A. Ms.",SL,260,0.8,*,,
, , , ,-----,---,, , 
,, , ,6'838,21.5,, , 
2001: Lab,, , , , , , , 
Newport West [416],59.3,"Flynn, P.P.*",Lab,16'021,44.8,,-,7.9
60'303, ,"Morgan, W.J.",Con,10'563,29.6,,+,3.4
, ,"Flanagan, N.R.",LD,6'398,17.9,,+,6.2
, ,"Salkeld, A.M.",PC,1'278,3.6,*,-,3.6
, ,"Moelwyn Hughes, H.",UKIP,848,2.4,*,+,0.9
, ,"Varley, P.A.C.",Grn,540,1.5,*,,
, ,"Arjomand, S.",Ind,84,0.2,*,, 
, , , ,-----,---,, , 
,, , ,5'458,15.3,, , 
2001: Lab,, , , , , , , 
Newry and Armagh [417],70.6,"Murphy, C.T.",SF,20'965,41.4,,+,10.4
71'771, ,"Bradley, D.",SDLP,12'770,25.2,,-,12.2
, ,"Berry, P.L.",DUP,9'311,18.4,,-,1
, ,"Kennedy, D.",UU,7'025,13.9,,+,1.6
, ,"Markey, G.",Ind,625,1.2,*,, 
, , , ,-----,---,, , 
,, , ,8'195,16.2,, , 
2001: SDLP,, , , , , , , 
Norfolk Mid [418],67.3,"Simpson, K.R.*",Con,23'564,43.1,,-,1.7
81'270, ,"Zeichner, D.S.",Lab,16'004,29.2,,-,6.8
, ,"Clifford-Jackson, V.H. Ms.",LD,12'988,23.7,,+,9.2
, ,"Fletcher, S.B.H.",UKIP,2'178,4,*,+,1.4
, , , ,-----,---,, , 
,, , ,7'560,13.8,, , 
2001: Con,, , , , , , , 
Norfolk North [419],73,"Lamb, N.P.*",LD,31'515,53.4,,+,10.8
80'784, ,"Dale, I.C.",Con,20'909,35.5,,-,6.3
, ,"Harris, P.A.",Lab,5'447,9.2,,-,4.1
, ,"Agnew, J.S.",UKIP,978,1.7,*,+,0.6
, ,"Appleyard, J.R.S.",Ind,116,0.2,*,, 
, , , ,-----,---,, , 
,, , ,10'606,18,, , 
2001: LD,, , , , , , , 
Norfolk North West [420],62.7,"Bellingham, H.C.*",Con,25'471,50.3,,+,1.8
80'744, ,"Welfare, D.F.J.",Lab,16'291,32.2,,-,9.6
, ,"Higginson, S.S.",LD,7'026,13.9,,+,5.5
, ,"Stone, M.",UKIP,1'861,3.7,*,+,2.3
, , , ,-----,---,, , 
,, , ,9'180,18.1,, , 
2001: Con,, , , , , , , 
Norfolk South [421],68.7,"Bacon, R.M.*",Con,26'399,44.8,,+,2.6
85'891, ,"Mack, I.J.",LD,17'617,29.9,,+,0
, ,"Morgan, J.G.",Lab,13'262,22.5,,-,2
, ,"Tye, P.J.",UKIP,1'696,2.9,*,+,1.3
, , , ,-----,---,, , 
,, , ,8'782,14.9,, , 
2001: Con,, , , , , , , 
Norfolk South West [422],61.4,"Fraser, C.J.",Con,25'881,46.9,,-,5.2
89'727, ,"Morgan, C. Ms.",Lab,15'795,28.7,,-,5.8
, ,"Pond, A.H. Ms.",LD,10'207,18.5,,+,7.8
, ,"Hall, D.M. Ms.",UKIP,2'738,5,*,+,2.4
, ,"Hayes, K.E. Ms.",Ind,506,0.9,*,, 
, , , ,-----,---,, , 
,, , ,10'086,18.3,, , 
2001: Con,, , , , , , , 
Normanton [423],57.5,"Balls, E.M.",Lab,19'161,51.2,,-,4.9
65'129, ,"Percy, A.",Con,9'159,24.5,,-,2.5
, ,"Butterworth, S. Ms.",LD,6'357,17,,+,2.4
, ,"Aveyard, J.",BNP,1'967,5.3,, ,
, ,"Harrop, M.",Ind,780,2.1,*,, 
, , , ,-----,---,, , 
,, , ,10'002,26.7,, , 
2001: Lab,, , , , , , , 
Northampton North [424],57.9,"Keeble, S.C. Ms.*",Lab,16'905,40.2,,-,9.2
72'660, ,"Collins, D.N.T.",Con,12'945,30.8,,+,0.4
, ,"Simpson, A.S.J.",LD,10'317,24.5,,+,6.8
, ,"Howsam, J.M.",UKIP,1'050,2.5,*,+,1.1
, ,"Withrington, P.F.",SOS,495,1.2,*,, 
, ,"Otchie, A.A.",CPA,336,0.8,*,, 
, , , ,-----,---,, , 
,, , ,3'960,9.4,, , 
2001: Lab,, , , , , , , 
Northampton South [425],61.6,"Binley, B.A.R.",Con,23'818,43.7,,+,2.6
88'378, ,"Clarke, A.R.*",Lab,19'399,35.6,,-,7.3
, ,"Barron, K.C.",LD,8'327,15.3,,+,2.8
, ,"Clark, D.R.",UKIP,1'032,1.9,*,-,0.5
, ,"Green, A.E.",Ver,508,0.9,*,, 
, ,"Harrisson, J.P.",SOS,437,0.8,*,, 
, ,"Percival, J.G.",MRLP,354,0.6,*,, 
, ,"Fitzpatrick, E.",Ind,346,0.6,*,, 
, ,"Webb, T.S.D.",CPA,260,0.5,*,, 
, , , ,-----,---,, , 
,, , ,4'419,8.1,, , 
2001: Lab,, , , , , , , 
Northavon [426],73.4,"Webb, S.J.*",LD,30'872,52.3,,-,0.1
80'467, ,"Butt, C.J.",Con,19'839,33.6,,-,1.1
, ,"Gardener, P.N. Ms.",Lab,6'277,10.6,,-,0.9
, ,"Blake, A.",UKIP,1'032,1.7,*,+,0.4
, ,"Pinder, A.L.",Grn,922,1.6,*,,
, ,"Beacham, T.E.R.",Ind,114,0.2,*,, 
, , , ,-----,---,, , 
,, , ,11'033,18.7,, , 
2001: LD,, , , , , , , 
Norwich North [427],61,"Gibson, I.*",Lab,21'097,44.9,,-,2.6
77'128, ,"Tumbridge, J.R.",Con,15'638,33.2,,-,1.3
, ,"Whitmore, R.T.",LD,7'616,16.2,,+,1.4
, ,"Holmes, A.St.J.",Grn,1'252,2.7,*,+,0.9
, ,"Youles, J.B.",UKIP,1'122,2.4,*,+,1.4
, ,"Holden, B.",Ind,308,0.7,*,, 
, , , ,-----,---,, , 
,, , ,5'459,11.6,, , 
2001: Lab,, , , , , , , 
Norwich South [428],59.9,"Clarke, C.R.*",Lab,15'904,37.7,,-,7.8
70'410, ,"Aalders-Dunthorne, A.P.",LD,12'251,29,,+,6.4
, ,"Little, A.D.",Con,9'567,22.7,,-,2.1
, ,"Ramsay, A.P.",Grn,3'101,7.4,,+,4
, ,"Ahlstrom, V.S. Ms.",UKIP,597,1.4,*,+,0.3
, ,"Constable, C. Ms.",ED,466,1.1,*,, 
, ,"Barnard, D.E.",LCA,219,0.5,*,, 
, ,"Blackwell, R.A.",WRP,85,0.2,*,, 
, , , ,-----,---,, , 
,, , ,3'653,8.7,, , 
2001: Lab,, , , , , , , 
Nottingham East [429],49.6,"Heppell, J.*",Lab,13'787,45.8,,-,13.1
60'634, ,"Ghazni, I.",LD,6'848,22.8,,+,9.7
, ,"Thornton, J.G.",Con,6'826,22.7,,-,1.6
, ,"Baxter, A.J.",Grn,1'517,5,, ,
, ,"Ellwood, A.R.",UKIP,740,2.5,*,,
, ,"Radcliff, P.R.",SocU,373,1.2,*,, 
, , , ,-----,---,, , 
,, , ,6'939,23.1,, , 
2001: Lab,, , , , , , , 
Nottingham North [430],49.1,"Allen, G.W.*",Lab,17'842,58.7,,-,5.8
61'894, ,"Patel, P.S. Ms.",Con,5'671,18.7,,-,5.1
, ,"Ball, T.S.",LD,5'190,17.1,,+,6.5
, ,"Marriott, I. Ms.",UKIP,1'680,5.5,, ,
, , , ,-----,---,, , 
,, , ,12'171,40.1,, , 
2001: Lab,, , , , , , , 
Nottingham South [431],50.6,"Simpson, A.J.*",Lab,16'506,47.4,,-,7.1
68'921, ,"Mattu, S.",Con,9'020,25.9,,-,1.3
, ,"Sutton, T.B.",LD,7'961,22.9,,+,6.3
, ,"Browne, J.K.",UKIP,1'353,3.9,*,+,2.2
, , , ,-----,---,, , 
,, , ,7'486,21.5,, , 
2001: Lab,, , , , , , , 
Nuneaton [432],61.6,"Olner, W.J.*",Lab,19'945,44,,-,8.1
73'446, ,"Pawsey, M.J.F.",Con,17'664,39,,+,4.3
, ,"Asghar, A.",LD,5'884,13,,+,1.9
, ,"Tyson, K.V.",UKIP,1'786,3.9,*,+,1.9
, , , ,-----,---,, , 
,, , ,2'281,5,, , 
2001: Lab,, , , , , , , 
Ochil and South Perthshire [433],66,"Banks, G.R.",Lab,14'645,31.4,,-,2
70'731, ,"Ewing, A. Ms.*",SNP,13'957,29.9,,-,1.7
, ,"Smith, E.J. Ms.",Con,10'021,21.5,,-,0.6
, ,"Whittingham, C. Ms.",LD,6'218,13.3,,+,2.8
, ,"Baxter, G.",Grn,978,2.1,*,,
, ,"Campbell, I.",SSP,420,0.9,*,-,0.9
, ,"Bushby, D.",UKIP,275,0.6,*,,
, ,"Kelly, M.",FSP,183,0.4,*,, 
, , , ,-----,---,, , 
,, , ,688,1.5,, , 
2001: Lab,, , , , , , , 
Ogmore [434],57.8,"Irranca-Davies, I.H.*",Lab,18'295,60.4,,-,1.6
52'349, ,"Radford, J. Ms.",LD,4'592,15.2,,+,2.4
, ,"Lloyd-Nesling, N.V. Ms.",Con,4'243,14,,+,2.9
, ,"Williams, J.",PC,3'148,10.4,,-,3.6
, , , ,-----,---,, , 
,, , ,13'703,45.3,, , 
2001: Lab,, , , , , , , 
Old Bexley and Sidcup [435],65.3,"Conway, D.L.*",Con,22'191,49.8,,+,4.4
68'226, ,"Moore, G.F.",Lab,12'271,27.5,,-,9.9
, ,"O'Hare, N.",LD,6'564,14.7,,+,1
, ,"Barnbrook, M.J.",UKIP,2'015,4.5,*,+,1.1
, ,"Sayers, C. Ms.",BNP,1'227,2.8,*,,
, ,"Peters, G.J.",Ind,304,0.7,*,, 
, , , ,-----,---,, , 
,, , ,9'920,22.3,, , 
2001: Con,, , , , , , , 
