UK General Election Results 1997,,,,,,,,,,
Constituency,MP,Candidate,Party,Votes,%Share,Electorate,Majority,Turnout,Status,Declaration
,,Theresia Williamson,Liberal,741,1.41%,,,,,
,,John Dawkins,United Kingdom Independence,254,0.48%,,,,,
,,,,,,,,,,
Eastleigh,,David Chidgey,Liberal Democrat,19453,35.05%,72155,754,76.91%,Liberal Democrat Gain,02/05/97 02:27
,,Stephen Reid,Conservative,18699,33.70%,,,,,
,,Alan Lloyd,Labour,14883,26.82%,,,,,
,,Victor Eldridge,Referendum,2013,3.63%,,,,,
,,PW Robinson,United Kingdom Independence,446,0.80%,,,,,
,,,,,,,,,,
Eastwood,,Jim Murphy,Labour,20766,39.74%,66697,3236,78.34%,Labour Gain,02/05/97 01:52
,,Paul Cullen,Conservative,17530,33.55%,,,,,
,,Douglas Yates,Scottish National,6826,13.06%,,,,,
,,Christopher Mason,Liberal Democrat,6110,11.69%,,,,,
,,David Miller,Referendum,497,0.95%,,,,,
,,Manar Tayan,People's Labour,393,0.75%,,,,,
,,Douglas McPherson,United Kingdom Independence,130,0.25%,,,,,
,,,,,,,,,,
Eccles,,Ian Stewart,Labour,30468,66.68%,69645,21916,65.60%,Labour Hold,02/05/97 00:34
,,Gregory Barker,Conservative,8552,18.72%,,,,,
,,Bob Boyd,Liberal Democrat,4905,10.74%,,,,,
,,John d Roeck,Referendum,1765,3.86%,,,,,
,,,,,,,,,,
Eddisbury,,Alastair Goodlad,Conservative,21027,42.52%,65256,1185,75.78%,Conservative Hold,02/05/97 04:31
,,Margaret Hanson,Labour,19842,40.13%,,,,,
,,David Reaper,Liberal Democrat,6540,13.23%,,,,,
,,Norine Napier,Referendum,2041,4.13%,,,,,
,,,,,,,,,,
Edinburgh Central,,Alistair Darling,Labour,20125,47.09%,63695,11070,67.09%,Labour Hold,02/05/97 03:08
,,Mike Scott-Hayward,Conservative,9055,21.19%,,,,,
,,Fiona Hyslop,Scottish National,6750,15.80%,,,,,
,,Karen Utting,Liberal Democrat,5605,13.12%,,,,,
,,Linda Hendry,Green,607,1.42%,,,,,
,,Austin Skinner,Referendum,495,1.16%,,,,,
,,Mark Benson,Independent,98,0.23%,,,,,
,,,,,,,,,,
Edinburgh East and Musselburgh,,Gavin Strang,Labour,22564,53.57%,59648,14530,70.61%,Labour Hold,02/05/97 02:12
,,Derrick White,Scottish National,8034,19.07%,,,,,
,,Kenneth Ward,Conservative,6483,15.39%,,,,,
,,Callum MacKellar,Liberal Democrat,4511,10.71%,,,,,
,,James Sibbet,Referendum,526,1.25%,,,,,
,,,,,,,,,,
Edinburgh North and Leith,,Malcolm Chisholm,Labour,19209,46.91%,61617,10978,66.45%,Labour Hold,02/05/97 02:24
,,Anne Dana,Scottish National,8231,20.10%,,,,,
,,Ewen Stewart,Conservative,7312,17.86%,,,,,
,,Hilary Campbell,Liberal Democrat,5335,13.03%,,,,,
,,Sandy Graham,Referendum,441,1.08%,,,,,
,,Gavin Brown,Scottish Socialist Alliance,320,0.78%,,,,,
,,Paul Douglas-Reid,Natural Law,97,0.24%,,,,,
,,,,,,,,,,
Edinburgh Pentlands,,Lynda Clark,Labour,19675,43.01%,59635,4862,76.70%,Labour Gain,02/05/97 02:49
,,Malcolm Rifkind,Conservative,14813,32.38%,,,,,
,,Stewart Gibb,Scottish National,5952,13.01%,,,,,
,,Jenny Dawe,Liberal Democrat,4575,10.00%,,,,,
,,Malcolm McDonald,Referendum,422,0.92%,,,,,
,,Robin Harper,Green,224,0.49%,,,,,
,,Alistair McConnachie,United Kingdom Independence,81,0.18%,,,,,
,,,,,,,,,,
Edinburgh South,,Nigel Griffiths,Labour,20993,46.82%,62467,11452,71.78%,Labour Hold,02/05/97 01:57
,,Elizabeth Smith,Conservative,9541,21.28%,,,,,
,,Mike Pringle,Liberal Democrat,7911,17.64%,,,,,
,,John Hargreaves,Scottish National,5791,12.92%,,,,,
,,Ian McLean,Referendum,504,1.12%,,,,,
,,Bradley Dunn,Natural Law,98,0.22%,,,,,
,,,,,,,,,,
Edinburgh West,,Donald Gorrie,Liberal Democrat,20578,43.20%,61133,7253,77.91%,Liberal Democrat Gain,02/05/97 02:35
,,James Douglas-Hamilton,Conservative,13325,27.98%,,,,,
,,Lesley Hinds,Labour,8948,18.79%,,,,,
,,Graham Sutherland,Scottish National,4210,8.84%,,,,,
,,Stephen Elphick,Referendum,277,0.58%,,,,,
,,Paul Coombes,Liberal,263,0.55%,,,,,
,,Antony Jack,Independent,30,0.06%,,,,,
,,,,,,,,,,
Edmonton,,Andy Love,Labour Co-op,27029,60.28%,63718,13472,70.37%,Labour/Co-operative Gain,02/05/97 02:41
,,Ian Twinn,Conservative,13557,30.24%,,,,,
,,Andrew Wiseman,Liberal Democrat,2847,6.35%,,,,,
,,James Wright,Referendum,708,1.58%,,,,,
,,Bruce Cowd,British National,437,0.97%,,,,,
,,Penelope Weald,United Kingdom Independence,260,0.58%,,,,,
,,,,,,,,,,
Ellesmere Port and Neston,,Andrew Miller,Labour,31310,59.57%,67573,16035,77.79%,Labour Hold,02/05/97 03:58
,,Lynn Turnbull,Conservative,15275,29.06%,,,,,
,,Joanna Pemberton,Liberal Democrat,4673,8.89%,,,,,
,,Colin Rodden,Referendum,1305,2.48%,,,,,
,,,,,,,,,,
Elmet,,Colin Burgon,Labour,28348,52.40%,70423,8779,76.81%,Labour Gain,02/05/97 02:30
,,Spencer Batiste,Conservative,19569,36.18%,,,,,
,,Brian Jennings,Liberal Democrat,4691,8.67%,,,,,
,,Chris Zawadski,Referendum,1487,2.75%,,,,,
,,,,,,,,,,
Eltham,,Clive Efford,Labour,23710,54.60%,57358,10182,75.71%,Labour Gain,02/05/97 03:30
,,Clive Blackwood,Conservative,13528,31.15%,,,,,
,,Amanda Taylor,Liberal Democrat,3701,8.52%,,,,,
,,Matthew Clark,Referendum,1414,3.26%,,,,,
,,Henry Middleton,Liberal,584,1.34%,,,,,
,,William Hitches,British National,491,1.13%,,,,,
,,,,,,,,,,
Enfield North,,Joan Ryan,Labour,24148,50.66%,67680,6822,70.43%,Labour Gain,02/05/97 02:53
,,Mark Field,Conservative,17326,36.35%,,,,,
,,Michael Hopkins,Liberal Democrat,4264,8.95%,,,,,
,,Robert Ellingham,Referendum,857,1.80%,,,,,
,,Jean Griffin,British National,590,1.24%,,,,,
,,Jose O'Ware,United Kingdom Independence,484,1.02%,,,,,
,,,,,,,,,,
Enfield Southgate,,Stephen Twigg,Labour,20570,44.21%,65796,1433,70.72%,Labour Gain,02/05/97 03:02
,,Michael Portillo,Conservative,19137,41.13%,,,,,
,,Jeremy Browne,Liberal Democrat,4966,10.67%,,,,,
,,Nicholas Luard,Referendum,1342,2.88%,,,,,
,,Alan Storkey,Christian Democratic,289,0.62%,,,,,
,,Andrew Malakouna,Independent,229,0.49%,,,,,
,,,,,,,,,,
Epping Forest,,Eleanor Laing,Conservative,24117,45.50%,72795,5252,72.82%,Conservative Hold,02/05/97 02:07
,,Stephen Murray,Labour,18865,35.59%,,,,,
,,Stephen Robinson,Liberal Democrat,7074,13.35%,,,,,
,,Jason Berry,Referendum,2208,4.17%,,,,,
,,Paul Henderson,British National,743,1.40%,,,,,
,,,,,,,,,,
Epsom and Ewell,,Archie Hamilton,Conservative,24717,45.62%,73222,11525,74.00%,Conservative Hold,02/05/97 04:31
,,Philip Woodford,Labour,13192,24.35%,,,,,
,,John Vincent,Liberal Democrat,12380,22.85%,,,,,
,,Christopher MacDonald,Referendum,2355,4.35%,,,,,
,,Harold Green,United Kingdom Independence,544,1.00%,,,,,
,,Hugo Charlton,Green,527,0.97%,,,,,
,,Katherine Weeks,People's Labour,466,0.86%,,,,,
,,,,,,,,,,
Erewash,,Liz Blackman,Labour,31196,51.70%,77402,9135,77.95%,Labour Gain,02/05/97 03:20
,,Angela Knight,Conservative,22061,36.56%,,,,,
,,Martin Garnett,Liberal Democrat,5181,8.59%,,,,,
,,Stephen Stagg,Referendum,1404,2.33%,,,,,
,,Matthew Simmons,Socialist Labour,496,0.82%,,,,,
,,,,,,,,,,
Erith and Thamesmead,,John Austin-Walker,Labour,25812,62.07%,62887,17424,66.13%,Labour Gain,02/05/97 02:06
,,Nadhim Zahawi,Conservative,8388,20.17%,,,,,
,,Alexander Grigg,Liberal Democrat,5001,12.03%,,,,,
,,John Flunder,Referendum,1394,3.35%,,,,,
,,Victor Dooley,British National,718,1.73%,,,,,
,,M Jackson,United Kingdom Independence,274,0.66%,,,,,
,,,,,,,,,,
Esher and Walton,,Ian Taylor,Conservative,26747,49.84%,72382,14528,74.14%,Conservative Hold,02/05/97 03:22
,,Julie Reay,Labour,12219,22.77%,,,,,
,,Gary Miles,Liberal Democrat,10937,20.38%,,,,,
,,Andrew Cruickshank,Referendum,2904,5.41%,,,,,
,,Bernard Collignon,United Kingdom Independence,558,1.04%,,,,,
,,Simone Kay,Rainbow Dream Ticket,302,0.56%,,,,,
,,,,,,,,,,
Essex North,,Bernard Jenkin,Conservative,22480,43.90%,68008,5476,75.30%,Conservative Hold,02/05/97 03:36
,,Tim Young,Labour,17004,33.21%,,,,,
,,Andrew Phillips,Liberal Democrat,10028,19.58%,,,,,
,,Roger Lord,United Kingdom Independence,1202,2.35%,,,,,
,,Susan Ransome,Green,495,0.97%,,,,,
,,,,,,,,,,
Exeter,,Ben Bradshaw,Labour,29398,47.52%,79154,11705,78.16%,Labour Gain,02/05/97 03:23
,,Adrian Rogers,Conservative,17693,28.60%,,,,,
,,Dennis Brewer,Liberal Democrat,11148,18.02%,,,,,
,,David Morrish,Liberal,2062,3.33%,,,,,
,,Paul Edwards,Green,643,1.04%,,,,,
,,CP Haynes,United Kingdom Independence,638,1.03%,,,,,
,,James Meakin,Independent,282,0.46%,,,,,
,,,,,,,,,,
Falkirk East,,Michael Connarty,Labour,23344,56.12%,56792,13385,73.24%,Labour Gain,02/05/97 02:22
,,Keith Brown,Scottish National,9959,23.94%,,,,,
,,Malcolm Nicol,Conservative,5813,13.98%,,,,,
,,Rodger Spillane,Liberal Democrat,2153,5.18%,,,,,
,,Sebastian Mowbray,Referendum,325,0.78%,,,,,
,,,,,,,,,,
Falkirk West,,Dennis Canavan,Labour,22772,59.35%,52850,13783,72.60%,Labour Hold,02/05/97 02:38
,,David Alexander,Scottish National,8989,23.43%,,,,,
,,Carol Buchanan,Conservative,4639,12.09%,,,,,
,,Derek Houston,Liberal Democrat,1970,5.13%,,,,,
,,,,,,,,,,
Falmouth and Camborne,,Candy Atherton,Labour,18151,33.84%,71383,2688,75.13%,Labour Gain,02/05/97 05:39
,,Sebastian Coe,Conservative,15463,28.83%,,,,,
,,Terry Jones,Liberal Democrat,13512,25.19%,,,,,
,,Peter d'Savary,Referendum,3534,6.59%,,,,,
,,James Geach,Independent,1691,3.15%,,,,,
,,Paul Holmes,Liberal,527,0.98%,,,,,
,,Robert Smith,United Kingdom Independence,355,0.66%,,,,,
,,Ruth Lewarne,Mebyon Kernow,238,0.44%,,,,,
,,Gary Glitter,Monster Raving Loony,161,0.30%,,,,,
,,,,,,,,,,
Fareham,,Peter Lloyd,Conservative,24436,46.83%,68787,10358,75.85%,Conservative Hold,02/05/97 03:18
,,Michael Pryor,Labour,14078,26.98%,,,,,
,,Grace Hill,Liberal Democrat,10234,19.61%,,,,,
,,Dayne Markham,Referendum,2914,5.58%,,,,,
,,William O'Brien,Independent,515,0.99%,,,,,
,,,,,,,,,,
Faversham and Kent Mid,,Andrew Rowe,Conservative,22016,44.38%,67490,4173,73.50%,Conservative Hold,02/05/97 03:44
,,Alan Stewart,Labour,17843,35.97%,,,,,
,,Bruce Parmenter,Liberal Democrat,6138,12.37%,,,,,
,,Robin Birley,Referendum,2073,4.18%,,,,,
,,Norman Davidson,Monster Raving Loony,511,1.03%,,,,,
,,Michael Cunningham,United Kingdom Independence,431,0.87%,,,,,
,,David Currer,Green,380,0.77%,,,,,
,,Caroline Morgan,Independent,115,0.23%,,,,,
,,Nigel Pollard,Natural Law,99,0.20%,,,,,
,,,,,,,,,,
Feltham and Heston,,DA Keen,Labour Co-op,27836,59.71%,71093,15273,65.58%,Labour/Co-operative Hold,02/05/97 03:22
,,Patrick Ground,Conservative,12563,26.95%,,,,,
,,Colin Penning,Liberal Democrat,4264,9.15%,,,,,
,,Rupert Stubbs,Referendum,1099,2.36%,,,,,
,,Robert Church,British National,682,1.46%,,,,,
,,David Fawcett,Natural Law,177,0.38%,,,,,
,,,,,,,,,,
Fermanagh and South Tyrone,,Ken Maginnis,Ulster Unionist,24862,51.48%,64600,13688,74.75%,Ulster Unionist Hold,02/05/97 14:50
,,Gerry McHugh,Sinn Féin,11174,23.14%,,,,,
,,Tommy Gallagher,Social Democratic and Labour,11060,22.90%,,,,,
,,Stephen Farry,Alliance,977,2.02%,,,,,
,,Simeon Gillan,Natural Law,217,0.45%,,,,,
,,,,,,,,,,
Fife Central,,Henry McLeish,Labour,23912,58.66%,58315,13713,69.90%,Labour Hold,02/05/97 01:29
,,Tricia Marwick,Scottish National,10199,25.02%,,,,,
,,Jacob Rees-Mogg,Conservative,3669,9.00%,,,,,
,,Ross Laird,Liberal Democrat,2610,6.40%,,,,,
,,John Scrymgeour-Wedderburn,Referendum,375,0.92%,,,,,
,,,,,,,,,,
Fife North East,,Menzies Campbell,Liberal Democrat,21432,51.22%,58794,10356,71.16%,Liberal Democrat Hold,02/05/97 02:45
,,Adam Bruce,Conservative,11076,26.47%,,,,,
,,Colin Welsh,Scottish National,4545,10.86%,,,,,
,,Charles Milne,Labour,4301,10.28%,,,,,
,,William Nick Stewart,Referendum,485,1.16%,,,,,
,,,,,,,,,,
Finchley and Golders Green,,Rudolph Vis,Labour,23180,46.08%,72225,3189,69.65%,Labour Gain,02/05/97 02:53
,,John Marshall,Conservative,19991,39.74%,,,,,
,,Jonathan Davies,Liberal Democrat,5670,11.27%,,,,,
,,Gary Shaw,Referendum,684,1.36%,,,,,
,,Ashley Gunstock,Green,576,1.14%,,,,,
,,David Barraclough,United Kingdom Independence,205,0.41%,,,,,
,,,,,,,,,,
Folkestone and Hythe,,Michael Howard,Conservative,20313,39.03%,71153,6332,73.15%,Conservative Hold,02/05/97 03:28
,,David Laws,Liberal Democrat,13981,26.86%,,,,,
,,Peter Doherty,Labour,12939,24.86%,,,,,
,,John Aspinall,Referendum,4188,8.05%,,,,,
,,John Baker,United Kingdom Independence,378,0.73%,,,,,
,,Eric Segal,Socialist,182,0.35%,,,,,
,,Raymond Saint,Independent,69,0.13%,,,,,
,,,,,,,,,,
Forest of Dean,,Diana Organ,Labour,24203,48.23%,63465,6343,79.07%,Labour Gain,02/05/97 06:07
,,Paul Marland,Conservative,17860,35.59%,,,,,
,,Anthony Lynch,Liberal Democrat,6165,12.28%,,,,,
,,John Hopkins,Referendum,1624,3.24%,,,,,
,,Gerald Morgan,Independent,218,0.43%,,,,,
,,Colin Palmer,Independent,80,0.16%,,,,,
,,Stephen Porter,Independent,34,0.07%,,,,,
,,,,,,,,,,
Foyle,,John Hume,Social Democratic and Labour,25109,52.51%,67620,13664,70.71%,Social Democratic and Labour Hold,02/05/97 14:41
,,Mitchel McLaughlin,Sinn Féin,11445,23.94%,,,,,
,,William Hay,Democratic Unionist,10290,21.52%,,,,,
,,Helen-Marie Bell,Alliance,817,1.71%,,,,,
,,Donn Brennan,Natural Law,154,0.32%,,,,,
,,,,,,,,,,
Fylde,,Michael Jack,Conservative,25443,48.87%,71385,8963,72.94%,Conservative Hold,02/05/97 02:45
,,John Garrett,Labour,16480,31.65%,,,,,
,,Bill Greene,Liberal Democrat,7609,14.61%,,,,,
,,David Britton,Referendum,2372,4.56%,,,,,
,,Terry Kerwin,Natural Law,163,0.31%,,,,,
,,,,,,,,,,
Gainsborough,,Edward Leigh,Conservative,20593,43.09%,64106,6826,74.56%,Conservative Hold,02/05/97 04:40
,,Paul Taylor,Labour,13767,28.80%,,,,,
,,Neil Taylor,Liberal Democrat,13436,28.11%,,,,,
,,,,,,,,,,
Galloway and Upper Nithsdale,,Alasdair Morgan,Scottish National,18449,43.91%,52751,5624,79.65%,Scottish National Gain,02/05/97 02:18
,,Ian Lang,Conservative,12825,30.52%,,,,,
,,Katy Clark,Labour,6861,16.33%,,,,,
,,John McKerchar,Liberal Democrat,2700,6.43%,,,,,
,,Roger Wood,Independent,566,1.35%,,,,,
,,Alan Kennedy,Referendum,428,1.02%,,,,,
,,JW Smith,United Kingdom Independence,189,0.45%,,,,,
,,,,,,,,,,
Gateshead East and Washington West,,Joyce Quin,Labour,31047,72.07%,64114,24950,67.19%,Labour Hold,02/05/97 01:11
,,Jacqui Burns,Conservative,6097,14.15%,,,,,
,,Alan Ord,Liberal Democrat,4622,10.73%,,,,,
,,Michael Daley,Referendum,1315,3.05%,,,,,
,,,,,,,,,,
Gedling,,Vernon Coaker,Labour,24390,46.76%,68820,3802,75.80%,Labour Gain,02/05/97 02:59
,,Andrew Mitchell,Conservative,20588,39.47%,,,,,
,,Ray Poynter,Liberal Democrat,5180,9.93%,,,,,
,,John Connor,Referendum,2006,3.85%,,,,,
,,,,,,,,,,
Gillingham,,Paul Clark,Labour,20187,39.83%,70389,1980,72.00%,Labour Gain,02/05/97 02:48
,,James R Couchman,Conservative,18207,35.92%,,,,,
,,Robert Sayer,Liberal Democrat,9649,19.04%,,,,,
,,Geoffrey Cann,Referendum,1492,2.94%,,,,,
,,C Mackinlay,United Kingdom Independence,590,1.16%,,,,,
,,David Robinson,Monster Raving Loony,305,0.60%,,,,,
,,Christopher Jury,British National,195,0.38%,,,,,
,,Gabriel Duguay,Natural Law,58,0.11%,,,,,
,,,,,,,,,,
Glasgow Anniesland,,Donald Dewar,Labour,20951,61.84%,52955,15154,63.98%,Labour Hold,02/05/97 01:45
,,William Wilson,Scottish National,5797,17.11%,,,,,
,,Andrew Brocklehurst,Conservative,3881,11.46%,,,,,
,,Christopher McGinty,Liberal Democrat,2453,7.24%,,,,,
,,Akhtar Majid,People's Labour,374,1.10%,,,,,
,,William Bonnar,Scottish Socialist Alliance,229,0.68%,,,,,
,,Alan Milligan,United Kingdom Independence,86,0.25%,,,,,
,,Gillian McKay,Referendum,84,0.25%,,,,,
,,Thomas Pringle,Natural Law,24,0.07%,,,,,
,,,,,,,,,,
Glasgow Baillieston,,James Wray,Labour,20925,65.69%,51152,14840,62.27%,Labour Hold,02/05/97 01:40
,,Patsy Thomson,Scottish National,6085,19.10%,,,,,
,,Malcolm Kelly,Conservative,2468,7.75%,,,,,
,,Sheila Rainger,Liberal Democrat,1217,3.82%,,,,,
,,James McVicar,Scottish Socialist Alliance,970,3.05%,,,,,
,,John McClafferty,Referendum,188,0.59%,,,,,
,,,,,,,,,,
Glasgow Cathcart,,John Maxton,Labour,19158,57.38%,49312,12965,67.71%,Labour Hold,02/05/97 02:15
,,Maire Whitehead,Scottish National,6193,18.55%,,,,,
,,Alistair Muir,Conservative,4248,12.72%,,,,,
,,Callan Dick,Liberal Democrat,2302,6.89%,,,,,
,,Zofia Indyk,People's Labour,687,2.06%,,,,,
,,Ronnie Stevenson,Scottish Socialist Alliance,458,1.37%,,,,,
,,Strang Haldane,Referendum,344,1.03%,,,,,
,,,,,,,,,,
Glasgow Govan,,Mohammad Sarwar,Labour,14216,44.09%,49836,2914,64.70%,Labour Gain,02/05/97 01:52
,,Nicola Sturgeon,Scottish National,11302,35.05%,,,,,
,,William Thomas,Conservative,2839,8.80%,,,,,
,,Bob Stewart,Liberal Democrat,1918,5.95%,,,,,
,,Alan McCombes,Scottish Socialist Alliance,755,2.34%,,,,,
,,Peter Paton,Independent,325,1.01%,,,,,
,,Islam Badar,Independent,319,0.99%,,,,,
,,Zahid Jami Abbasi,Independent,221,0.69%,,,,,
,,Kenneth MacDonald,Referendum,201,0.62%,,,,,
,,James White,British National,149,0.46%,,,,,
,,,,,,,,,,
Glasgow Kelvin,,George Galloway,Labour,16643,50.97%,57438,9665,56.85%,Labour Hold,02/05/97 01:44
,,Sandra White,Scottish National,6978,21.37%,,,,,
,,Elspeth Buchanan,Liberal Democrat,4629,14.18%,,,,,
,,Duncan McPhie,Conservative,3539,10.84%,,,,,
,,Allan Green,Scottish Socialist Alliance,386,1.18%,,,,,
,,Robert Grigor,Referendum,282,0.86%,,,,,
,,Victor Vanni,Socialist,102,0.31%,,,,,
,,George Stidolph,Natural Law,95,0.29%,,,,,
,,,,,,,,,,
Glasgow Maryhill,,Maria Fyfe,Labour,19301,64.94%,52523,14264,56.59%,Labour Hold,02/05/97 02:32
,,John Wailes,Scottish National,5037,16.95%,,,,,
,,Elspeth Attwooll,Liberal Democrat,2119,7.13%,,,,,
,,Stuart Baldwin,Conservative,1747,5.88%,,,,,
,,Lorna Blair,Natural Law,651,2.19%,,,,,
,,Mandy Baker,Scottish Socialist Alliance,409,1.38%,,,,,
,,Jahangir Hanif,People's Labour,344,1.16%,,,,,
,,Roderick Paterson,Referendum,77,0.26%,,,,,
,,Steve Johnstone,Independent,36,0.12%,,,,,
,,,,,,,,,,
Glasgow Pollok,,Ian Davidson,Labour Co-op,19653,59.91%,49284,13791,66.56%,Labour/Co-operative Gain,02/05/97 02:29
,,David Logan,Scottish National,5862,17.87%,,,,,
,,Tommy Sheridan,Scottish Socialist Alliance,3639,11.09%,,,,,
,,Edwin Hamilton,Conservative,1979,6.03%,,,,,
,,David Jago,Liberal Democrat,1137,3.47%,,,,,
,,Monica Gott,People's Labour,380,1.16%,,,,,
,,Derek Haldane,Referendum,152,0.46%,,,,,
,,,,,,,,,,
Glasgow Rutherglen,,Thomas McAvoy,Labour Co-op,20430,57.52%,50646,15007,70.14%,Labour/Co-operative Hold,02/05/97 01:49
,,Ian Gray,Scottish National,5423,15.27%,,,,,
,,Robert Brown,Liberal Democrat,5167,14.55%,,,,,
,,David Campbell-Bannerman,Conservative,3288,9.26%,,,,,
,,George Easton,Independent,812,2.29%,,,,,
,,Rosie Kane,Scottish Socialist Alliance,251,0.71%,,,,,
,,Julia Kerr,Referendum,150,0.42%,,,,,
,,,,,,,,,,
Glasgow Shettleston,,David Marshall,Labour,19616,73.16%,47990,15868,55.87%,Labour Hold,02/05/97 02:03
,,Humayun Hanif,Scottish National,3748,13.98%,,,,,
,,Colin Simpson,Conservative,1484,5.53%,,,,,
,,Kerry Hiles,Liberal Democrat,1061,3.96%,,,,,
,,Christine McVicar,Scottish Socialist Alliance,482,1.80%,,,,,
,,Robert Currie,British National,191,0.71%,,,,,
,,Thomas Montguire,Referendum,151,0.56%,,,,,
,,John Graham,Workers' Revolutionary,80,0.30%,,,,,
,,,,,,,,,,
Glasgow Springburn,,Michael Martin,Labour,22534,71.36%,53473,17326,59.05%,Labour Hold,02/05/97 02:10
,,John Brady,Scottish National,5208,16.49%,,,,,
,,Mark Holdsworth,Conservative,1893,5.99%,,,,,
,,James Alexander,Liberal Democrat,1349,4.27%,,,,,
,,John Lawson,Scottish Socialist Alliance,407,1.29%,,,,,
,,Andrew Keating,Referendum,186,0.59%,,,,,
,,,,,,,,,,
Gloucester,,Tess Kingham,Labour,28943,49.98%,78682,8259,73.61%,Labour Gain,02/05/97 02:02
,,Douglas French,Conservative,20684,35.72%,,,,,
,,Peter Munisamy,Liberal Democrat,6069,10.48%,,,,,
,,Andy Reid,Referendum,1482,2.56%,,,,,
,,AL Harris,United Kingdom Independence,455,0.79%,,,,,
,,Moira Hamilton,Natural Law,281,0.49%,,,,,
,,,,,,,,,,
Gordon,,Malcolm Bruce,Liberal Democrat,17999,42.61%,58767,6997,71.89%,Liberal Democrat Hold,02/05/97 02:31
,,John Porter,Conservative,11002,26.04%,,,,,
,,Richard Lochhead,Scottish National,8435,19.97%,,,,,
,,Lindsey Kirkhill,Labour,4350,10.30%,,,,,
,,Fred Pidcock,Referendum,459,1.09%,,,,,
,,,,,,,,,,
Gosport,,Peter Viggers,Conservative,21085,43.60%,68830,6258,70.25%,Conservative Hold,02/05/97 03:24
,,Ivan Gray,Labour,14827,30.66%,,,,,
,,Steve Hogg,Liberal Democrat,9479,19.60%,,,,,
,,Andrew Blowers,Referendum,2538,5.25%,,,,,
,,Patrick Ettie,Independent,426,0.88%,,,,,
,,,,,,,,,,
Gower,,Martin Caton,Labour,23313,53.80%,57691,13007,75.12%,Labour Hold,02/05/97 01:52
,,Alun Cairns,Conservative,10306,23.78%,,,,,
,,Howard Evans,Liberal Democrat,5624,12.98%,,,,,
,,Elwyn Williams,Plaid Cymru,2226,5.14%,,,,,
,,Richard Lewis,Referendum,1745,4.03%,,,,,
,,Anthony Popham,Independent,122,0.28%,,,,,
,,,,,,,,,,
Grantham and Stamford,,Quentin Davies,Conservative,22672,42.80%,72310,2692,73.25%,Conservative Hold,02/05/97 04:33
,,Peter Denning,Labour,19980,37.72%,,,,,
,,John Sellick,Liberal Democrat,6612,12.48%,,,,,
,,Marilyn Swain,Referendum,2721,5.14%,,,,,
,,M Charlesworth,United Kingdom Independence,556,1.05%,,,,,
,,Rosa Clark,People's Labour,314,0.59%,,,,,
,,Ian Harper,Natural Law,115,0.22%,,,,,
,,,,,,,,,,
Gravesham,,Chris Pond,Labour,26460,49.69%,69234,5779,76.92%,Labour Gain,02/05/97 03:04
,,Jacques A Arnold,Conservative,20681,38.84%,,,,,
,,Merilyn Canet,Liberal Democrat,4128,7.75%,,,,,
,,Patricia Curtis,Referendum,1441,2.71%,,,,,
,,Anthony Leyshon,Independent,414,0.78%,,,,,
,,David Palmer,Natural Law,129,0.24%,,,,,
,,,,,,,,,,
Great Grimsby,,Austin Mitchell,Labour,25765,59.79%,65043,16244,66.26%,Labour Hold,02/05/97 00:58
,,Dean Godson,Conservative,9521,22.09%,,,,,
,,Andrew d Freitas,Liberal Democrat,7810,18.12%,,,,,
,,,,,,,,,,
Great Yarmouth,,Tony Wright,Labour,26084,53.36%,68625,8668,71.23%,Labour Gain,02/05/97 03:19
,,Michael Carttiss,Conservative,17416,35.63%,,,,,
,,Derek Wood,Liberal Democrat,5381,11.01%,,,,,
,,,,,,,,,,
Greenock and Inverclyde,,Norman Godman,Labour,19480,56.16%,48818,13040,71.05%,Labour Hold,02/05/97 01:11
,,Brian Goodall,Scottish National,6440,18.57%,,,,,
,,Rod Ackland,Liberal Democrat,4791,13.81%,,,,,
,,Hugo Swire,Conservative,3976,11.46%,,,,,
,,,,,,,,,,
Greenwich and Woolwich,,Nick Raynsford,Labour,25630,63.44%,61352,18128,65.85%,Labour Hold,02/05/97 02:38
,,Michael Mitchell,Conservative,7502,18.57%,,,,,
,,Cherry Luxton,Liberal Democrat,5049,12.50%,,,,,
,,Douglas Ellison,Referendum,1670,4.13%,,,,,
,,Ronald Mallone,Fellowship,428,1.06%,,,,,
,,David Martin-Eagle,Independent,124,0.31%,,,,,
,,,,,,,,,,
Guildford,,Nick Aubyn,Conservative,24230,42.54%,75541,4791,75.40%,Conservative Hold,02/05/97 01:11
,,Margaret Sharp,Liberal Democrat,19439,34.13%,,,,,
,,Joseph Burns,Labour,9945,17.46%,,,,,
,,James Gore,Referendum,2650,4.65%,,,,,
,,Robert McWhirter,United Kingdom Independence,400,0.70%,,,,,
,,John Morris,Independent,294,0.52%,,,,,
,,,,,,,,,,
Hackney North and Stoke Newington,,Diane Abbott,Labour,21110,65.19%,62045,15627,52.19%,Labour Hold,02/05/97 03:22
,,Michael Lavender,Conservative,5483,16.93%,,,,,
,,Douglas Taylor,Liberal Democrat,3306,10.21%,,,,,
,,Yen Chi Chong,Green,1395,4.31%,,,,,
,,Brian Maxwell,Referendum,544,1.68%,,,,,
,,Dickon Tolson,Independent,368,1.14%,,,,,
,,Lisa Lovebucket,Rainbow Dream Ticket,176,0.54%,,,,,
,,,,,,,,,,
