General election results 2010,,,Party,Votes,Share,*lost deposit,change since 2005,
, , , ,-----,---,, , 
2005: LD,, , ,5'821,11.3,, , 
Devon South West [191],70'813,70.4,"Streeter, G.N.*",Con,27'908,56,,+,11.6
, ,"Pascoe, A.K. Ms.",LD,12'034,24.1,,+,0.3
, ,"Pollard, L.",Lab,6'193,12.4,,-,11.8
, ,"Williams, H.M.",UKIP,3'084,6.2,,-,1.3
, ,"Brean, V.",GRN,641,1.3,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,15'874,31.8,, , 
Devon West and Torridge [192],77'360,71.4,"Cox, C.G.*",Con,25'230,45.7,,+,3.4
, ,"Symons, A.J.",LD,22'273,40.3,,+,3.4
, ,"Julian, R.",UKIP,3'021,5.5,,-,0.9
, ,"Jones, D.P.",Lab,2'917,5.3,,-,5.3
, ,"Simmons, C.H. Ms.",GRN,1'050,1.9,*,-,2
, ,"Baker, N.P.",BNP,766,1.4,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,2'957,5.4,, , 
Dewsbury [193],78'910,68.4,"Reevell, S.J.",Con,18'898,35,,+,3.3
, ,"Malik, S.*",Lab,17'372,32.2,,-,8.4
, ,"Hutchinson, A.",LD,9'150,16.9,,+,3.2
, ,"Iqbal, K.",Ind,3'813,7.1,, , 
, ,"Roberts, R.",BNP,3'265,6,,-,5.2
, ,"Cruden, A.H.",GRN,849,1.6,*,-,0.5
, ,"Felse, M.J.",ED,661,1.2,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,1'526,2.8,, , 
Don Valley [194],72'597,59.8,"Flint, C.L. Ms.*",Lab,16'472,37.9,,-,18.6
, ,"Stephens, M.",Con,12'877,29.7,,+,2.7
, ,"Simpson, E.H.",LD,7'422,17.1,,+,0.6
, ,"Toseland, E.",BNP,2'112,4.9,*,, 
, ,"Shaw, W.B.",UKIP,1'904,4.4,*,, 
, ,"Aston, B. Ms.",ED,1'756,4,*,, 
, ,"Williams, M.",Ind,877,2,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,3'595,8.3,, , 
Doncaster Central [195],72'985,57.2,"Winterton, R. Ms.*",Lab,16'569,39.7,,-,11.3
, ,"Davies, G.M.",Con,10'340,24.8,,+,6.1
, ,"Wilson, P.J.",LD,8'795,21.1,,-,2.6
, ,"Parramore, L.E.",ED,1'816,4.4,*,, 
, ,"Bettney, J.",BNP,1'762,4.2,*,+,0.9
, ,"Andrews, M.",UKIP,1'421,3.4,*,-,0
, ,"Pickles, S.A.",Ind,970,2.3,*,, 
, ,"Williams, D.A.",CURE,72,0.2,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,6'229,14.9,, , 
Doncaster North [196],71'681,57.9,"Miliband, E.*",Lab,19'637,47.3,,-,3.8
, ,"Brodie, S.R. Ms.",Con,8'728,21,,+,1.8
, ,"Sanderson, E.",LD,6'174,14.9,,-,0.8
, ,"Chambers, P. Ms.",BNP,2'818,6.8,,+,2.8
, ,"Crawshaw, W.",ED,2'148,5.2,, , 
, ,"Andrews, L. Ms.",UKIP,1'797,4.3,*,+,2.1
, ,"Rawcliffe, B.",TUSC,181,0.4,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,10'909,26.3,, , 
Dorset Mid and Poole North [197],64'660,72.4,"Brooke, A.L. Ms.*",LD,21'100,45.1,,-,4.9
, ,"King, N.P.R.",Con,20'831,44.5,,+,7.7
, ,"Brown, D.A.",Lab,2'748,5.9,,-,4.2
, ,"Evans, D.W.",UKIP,2'109,4.5,*,+,1.4
, , , ,-----,---,, , 
2005: LD,, , ,269,0.6,, , 
Dorset North [198],73'741,73.4,"Walter, R.J.*",Con,27'640,51.1,,+,4.6
, ,"Gasson, E.J. Ms.",LD,20'015,37,,-,0.9
, ,"Bunney, M.",Lab,2'910,5.4,,-,4.2
, ,"Nieboer, J.C.S.",UKIP,2'812,5.2,,+,1.3
, ,"Hayball, A.T. Ms.",GRN,546,1,*,-,1.3
, ,"Monksummers, R.J.",MRLP,218,0.4,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,7'625,14.1,, , 
Dorset South [199],73'360,68.6,"Drax, R.",Con,22'667,45.1,,+,7.1
, ,"Knight, J.*",Lab,15'224,30.3,,-,11.4
, ,"Kayes, R. Ms.",LD,9'557,19,,+,3.3
, ,"Hobson, M.",UKIP,2'034,4,*,+,0.8
, ,"Heatley, B.",GRN,595,1.2,*,, 
, ,"Kirkwood, A.",Vote,233,0.5,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,7'443,14.8,, , 
Dorset West [200],76'869,74.6,"Letwin, O.*",Con,27'287,47.6,,+,1.1
, ,"Farrant, S.R. Ms.",LD,23'364,40.7,,-,1.2
, ,"Bick, S.A.",Lab,3'815,6.7,,-,1.1
, ,"Chisholm, O.M.",UKIP,2'196,3.8,*,+,1.8
, ,"Greene, J.S. Ms.",GRN,675,1.2,*,-,0.6
, , , ,-----,---,, , 
2005: Con,, , ,3'923,6.8,, , 
Dover [201],71'833,70.1,"Elphicke, C.B.A.",Con,22'174,44,,+,9.1
, ,"Prosser, G.M.*",Lab,16'900,33.5,,-,11.8
, ,"Brigden, J.G.",LD,7'962,15.8,,+,0
, ,"Matcham, V.P.",UKIP,1'747,3.5,*,+,0.8
, ,"Whiting, A.D.",BNP,1'104,2.2,*,, 
, ,"Walters, M.P.",ED,216,0.4,*,, 
, ,"Clark, D.R.",CPA,200,0.4,*,, 
, ,"Lee-Delisle, E.G.",Ind,82,0.2,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,5'274,10.5,, , 
Down North [202],60'698,55.2,"Hermon, S. Ms.*",Ind,21'181,63.3,, , 
, ,"Parsley, I.J.",UCUNF,6'817,20.4,, , 
, ,"Farry, S.",APNI,1'876,5.6,, , 
, ,"Kilpatrick, K. Ms.",TUV,1'634,4.9,*,, 
, ,"Agnew, S.",GRN,1'043,3.1,*,, 
, ,"Logan, L.",SDLP,680,2,*,-,1.1
, ,"Parker, V.",SF,250,0.7,*,+,0.1
, , , ,-----,---,, , 
2005: UU,, , ,14'364,42.9,, , 
Down South [203],70'784,60.2,"Ritchie, M. Ms.",SDLP,20'648,48.5,,+,1.6
, ,"Ruane, C. Ms.",SF,12'236,28.7,,+,1.7
, ,"Wells, J.",DUP,3'645,8.6,,-,7.6
, ,"McCallister, J.",UCUNF,3'093,7.3,, , 
, ,"McConnell, I.",TUV,1'506,3.5,*,, 
, ,"Enright, C.",GRN,901,2.1,*,, 
, ,"Griffin, D.",APNI,560,1.3,*,, 
, , , ,-----,---,, , 
2005: SDLP,, , ,8'412,19.8,, , 
Dudley North [204],60'838,63.5,"Austin, I.*",Lab,14'923,38.7,,-,3.9
, ,"Brown, G.H.",Con,14'274,37,,+,5.6
, ,"Beckett, M.",LD,4'066,10.5,,+,0
, ,"Davis, M.",UKIP,3'267,8.5,,+,3.9
, ,"Griffiths, K.J.",BNP,1'899,4.9,*,-,6
, ,"Inman, K.",NF,173,0.4,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,649,1.7,, , 
Dudley South [205],60'572,63,"Kelly, C.",Con,16'450,43.1,,+,8.1
, ,"Harris, R.N. Ms.",Lab,12'594,33,,-,11
, ,"Bramall, J.",LD,5'989,15.7,,+,3
, ,"Rowe, P.A.",UKIP,3'132,8.2,,+,5
, , , ,-----,---,, , 
2005: Lab,, , ,3'856,10.1,, , 
Dulwich and West Norwood [206],72'817,66.2,"Jowell, T.J.H. Ms.*",Lab,22'461,46.6,,+,2.3
, ,"Mitchell, J.S.",LD,13'096,27.2,,+,4
, ,"Adegoke, K. Ms.",Con,10'684,22.2,,-,2.3
, ,"Collins, W.S.",GRN,1'266,2.6,*,-,3.7
, ,"Jones, E.E. Ms.",UKIP,707,1.5,*,+,0.7
, , , ,-----,---,, , 
2005: Lab,, , ,9'365,19.4,, , 
Dumfries and Galloway [207],74'584,70,"Brown, R.L.*",Lab,23'950,45.9,,+,4.8
, ,"Duncan, P.J.",Con,16'501,31.6,,-,3.7
, ,"Wood, A.S.",SNP,6'419,12.3,,+,0.2
, ,"Brodie, R.J.",LD,4'608,8.8,,+,0.5
, ,"Wright, W.G.",UKIP,695,1.3,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,7'449,14.3,, , 
"Dumfriesshire Clydesdale and Tweeddale [208]",66'627,68.9,"Mundell, D.G.*",Con,17'457,38,,+,1.9
, ,"Beamish, C.H. Ms.",Lab,13'263,28.9,,-,3.4
, ,"Bhatia, C.J.S. Ms.",LD,9'080,19.8,,-,0.5
, ,"Orr, A. Ms.",SNP,4'945,10.8,,+,1.6
, ,"McKeane, S.",UKIP,637,1.4,*,+,0.4
, ,"Ballance, A.R.H. Ms.",GRN,510,1.1,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,4'194,9.1,, , 
Dunbartonshire East [209],63'795,75.2,"Swinson, J. Ms.*",LD,18'551,38.7,,-,3.1
, ,"Galbraith, M. Ms.",Lab,16'367,34.1,,+,1
, ,"Nolan, M.",Con,7'431,15.5,,-,1
, ,"White, I.R.",SNP,5'054,10.5,,+,4.7
, ,"Beeley, J.M.",UKIP,545,1.1,*,, 
, , , ,-----,---,, , 
2005: LD,, , ,2'184,4.6,, , 
Dunbartonshire West [210],66'086,64,"Doyle, G. Ms.",Lab,25'905,61.3,,+,9.4
, ,"McCormick, T.G.",SNP,8'497,20.1,,-,1.6
, ,"Watt, H.D. Ms.",LD,3'434,8.1,,-,6.3
, ,"McIntyre, M.A.",Con,3'242,7.7,,+,1.2
, ,"Sorbie, M.",UKIP,683,1.6,*,+,0.8
, ,"McGavigan, K.M. Ms.",Soc Lab,505,1.2,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,17'408,41.2,, , 
Dundee East [211],65'471,62,"Hosie, S.*",SNP,15'350,37.8,,+,0.6
, ,"Murray, K.L. Ms.",Lab,13'529,33.3,,-,2.9
, ,"Bustin, C.",Con,6'177,15.2,,+,2.4
, ,"Sneddon, C.R.",LD,4'285,10.6,,-,0.8
, ,"Baird, S.E. Ms.",GRN,542,1.3,*,, 
, ,"Arthur, M.J.",UKIP,431,1.1,*,+,0.3
, ,"Gorrie, A. Ms.",SSP,254,0.6,*,-,0.7
, , , ,-----,---,, , 
2005: SNP,, , ,1'821,4.5,, , 
Dundee West [212],63'013,58.9,"McGovern, J.*",Lab,17'994,48.5,,+,3.9
, ,"Barrie, J.",SNP,10'716,28.9,,-,1.2
, ,"Barnett, J.E.",LD,4'233,11.4,,-,3
, ,"Stewart, C.",Con,3'461,9.3,,+,1
, ,"McBride, A.",Ind,365,1,*,, 
, ,"McFarlane, J.",TUSC,357,1,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,7'278,19.6,, , 
Dunfermline and Fife West [213],73'590,66.5,"Docherty, T.",Lab,22'639,46.3,,-,1.2
, ,"Rennie, W.*",LD,17'169,35.1,,+,14.9
, ,"McCall, J.",SNP,5'201,10.6,,-,8.3
, ,"Hacking, B. Ms.",Con,3'305,6.8,,-,3.6
, ,"Inglis, O.",UKIP,633,1.3,*,-,0.2
, , , ,-----,---,, , 
2005: Lab,, , ,5'470,11.2,, , 
Durham [214],68'832,67.2,"Blackman-Woods, R.C. Ms.*",Lab,20'496,44.3,,-,2.9
, ,"Woods, C. Ms.",LD,17'429,37.7,,-,2.1
, ,"Varley, N.",Con,6'146,13.3,,+,3.9
, ,"Musgrave, R.S.",BNP,1'153,2.5,*,, 
, ,"Coghill-Marshall, N.R.",UKIP,856,1.9,*,, 
, ,"Collings, J.C.",Ind,172,0.4,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,3'067,6.6,, , 
Durham North [215],67'544,60.7,"Jones, K.D.*",Lab,20'698,50.5,,-,13.6
, ,"Skelton, D.J.",Con,8'622,21,,+,4.3
, ,"Lindley, I.P.",LD,8'617,21,,+,1.9
, ,"Molloy, P.",BNP,1'686,4.1,*,, 
, ,"Reid, B.R.",UKIP,1'344,3.3,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,12'076,29.5,, , 
Durham North West [216],70'350,62.3,"Glass, P. Ms.",Lab,18'539,42.3,,-,11.6
, ,"Temple, O.",LD,10'927,24.9,,+,5
, ,"Tempest, M.E. Ms.",Con,8'766,20,,+,3.6
, ,"Stelling, W.",Ind,2'472,5.6,, , 
, ,"Stewart, M.",BNP,1'852,4.2,*,, 
, ,"McDonald, A.",UKIP,1'259,2.9,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,7'612,17.4,, , 
Dwyfor Meirionnydd [217],45'354,63.7,"Llwyd, E.",PC,12'814,44.3,,-,6.4
, ,"Baynes, S.R.M.",Con,6'447,22.3,,+,8.1
, ,"Humphreys, A.*",Lab,4'021,13.9,,-,7.8
, ,"Churchman, S.W.",LD,3'538,12.2,,+,1.3
, ,"Hughes, L. Ms.",Ind,1'310,4.5,*,, 
, ,"Wykes, F.C.",UKIP,776,2.7,*,+,0.3
, , , ,-----,---,, , 
2005: PC,, , ,6'367,22,, , 
Ealing Central and Acton [218],70'251,67.2,"Bray, A. Ms.",Con,17'944,38,,+,6.8
, ,"Mahfouz, B.",Lab,14'228,30.1,,-,3.2
, ,"Ball, J.T.A.",LD,13'041,27.6,,-,3
, ,"Carter, J. Ms.",UKIP,765,1.6,*,, 
, ,"Edwards, S.J. Ms.",GRN,737,1.6,*,-,3.3
, ,"Fernandes, S. Ms.",Ch P,295,0.6,*,, 
, ,"Akaki, S.",IEAC,190,0.4,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,3'716,7.9,, , 
Ealing North [219],73'104,65.2,"Pound, S.*",Lab,24'023,50.4,,+,3.5
, ,"Gibb, I.",Con,14'722,30.9,,+,2.6
, ,"Lucas, C.",LD,6'283,13.2,,-,6
, ,"Furness, D.R.",BNP,1'045,2.2,*,, 
, ,"De Wulverton, I.",UKIP,685,1.4,*,-,0.1
, ,"Warleigh-Lack, C.B.",GRN,505,1.1,*,-,1.8
, ,"Ljubisic, P.",Ch P,415,0.9,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,9'301,19.5,, , 
Ealing Southall [220],66'970,63.8,"Sharma, V.K.*",Lab,22'024,51.5,,-,5.8
, ,"Singh, G.",Con,12'733,29.8,,+,10.8
, ,"Bakhai, N.",LD,6'383,14.9,,-,3.3
, ,"Basu, S.",GRN,705,1.6,*,-,3.1
, ,"Anil, M.",Ch P,503,1.2,*,, 
, ,"Chaggar, S.",ED,408,1,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,9'291,21.7,, , 
Easington [221],63'879,54.7,"Morris, G.M.",Lab,20'579,58.9,,-,12.4
, ,"Saville, T.J. Ms.",LD,5'597,16,,+,3.1
, ,"Harrison, R.J.",Con,4'790,13.7,,+,3
, ,"Dunn, C.A. Ms.",BNP,2'317,6.6,,+,3.4
, ,"Aiken, M.D.",UKIP,1'631,4.7,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,14'982,42.9,, , 
East Ham [222],90'674,55.6,"Timms, S.*",Lab,35'471,70.4,,+,16.8
, ,"Shea, P.S.",Con,7'645,15.2,,+,1.4
, ,"Brice, C.",LD,5'849,11.6,,+,0.8
, ,"O'Connor, B.",ED,822,1.6,*,, 
, ,"Maciejowska, J. Ms.",GRN,586,1.2,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,27'826,55.2,, , 
"East Kilbride Strathaven and Lesmahagow [223]",76'534,66.6,"McCann, M.",Lab,26'241,51.5,,+,2.8
, ,"McKenna, J.",SNP,11'738,23,,+,5.1
, ,"Simpson, G.",Con,6'613,13,,+,3
, ,"Loughton, J.",LD,5'052,9.9,,-,6.6
, ,"Robb, K. Ms.",GRN,1'003,2,*,-,1.3
, ,"Houston, J.",Ind,299,0.6,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,14'503,28.5,, , 
East Lothian [224],73'348,67,"O'Donnell, F. Ms.",Lab,21'919,44.6,,+,3.1
, ,"Veitch, M.G.",Con,9'661,19.7,,+,3.7
, ,"Ritchie, S.",LD,8'288,16.9,,-,8
, ,"Sharp, A.",SNP,7'883,16,,+,2.9
, ,"Mackenzie, J.N.G.",GRN,862,1.8,*,-,0.7
, ,"Lloyd, J.",UKIP,548,1.1,*,+,0.4
, , , ,-----,---,, , 
2005: Lab,, , ,12'258,24.9,, , 
Eastbourne [225],77'840,67,"Lloyd, S.A.C.",LD,24'658,47.3,,+,5.6
, ,"Waterson, N.C.*",Con,21'223,40.7,,-,2.3
, ,"Brinson, D.C.",Lab,2'497,4.8,*,-,6
, ,"Shing, S.S.H.",Ind,1'327,2.5,*,, 
, ,"Needham, R.A.",UKIP,1'305,2.5,*,-,0
, ,"Poulter, C.",BNP,939,1.8,*,, 
, ,"Baldry, M.R.",Ind,101,0.2,*,, 
, ,"Gell, K.V.",Ind,74,0.1,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,3'435,6.6,, , 
Eastleigh [226],77'436,69.3,"Huhne, C.M.P.*",LD,24'966,46.5,,+,8.2
, ,"Hutchings, M. Ms.",Con,21'102,39.3,,+,2.1
, ,"Barraclough, L.D.",Lab,5'153,9.6,,-,11.5
, ,"Finch, R.T.",UKIP,1'933,3.6,*,+,0.2
, ,"Pewsey, T.S.",ED,249,0.5,*,, 
, ,"Stone, D.R.",Ind,154,0.3,*,, 
, ,"Low, K.",Nat Lib,93,0.2,*,, 
, , , ,-----,---,, , 
2005: LD,, , ,3'864,7.2,, , 
Eddisbury [227],72'100,63,"O'Brien, S.R.*",Con,23'472,51.7,,+,4.8
, ,"Thompson, R.J.",LD,10'217,22.5,,+,4.5
, ,"Merrick, P.A. Ms.",Lab,9'794,21.6,,-,10.5
, ,"Dodman, C.W.H.",UKIP,1'931,4.3,*,+,1.3
, , , ,-----,---,, , 
2005: Con,, , ,13'255,29.2,, , 
Edinburgh East [228],60'945,65.4,"Gilmore, S. Ms.",Lab,17'314,43.4,,+,3.4
, ,"Kerevan, G.",SNP,8'133,20.4,,+,3.4
, ,"Hope, B. Ms.",LD,7'751,19.4,,-,5
, ,"Donald, M.",Con,4'358,10.9,,+,0.6
, ,"Harper, R.",GRN,2'035,5.1,,-,0.6
, ,"Clark, G.P.",TUSC,274,0.7,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,9'181,23,, , 
Edinburgh North and Leith [229],69'207,68.4,"Lazarowicz, M.*",Lab,17'740,37.5,,+,3.2
, ,"Lang, K.R.",LD,16'016,33.8,,+,4.6
, ,"McGill, I.",Con,7'079,14.9,,-,3.7
, ,"Cashley, C.P.",SNP,4'568,9.6,,-,0.5
, ,"Joester, K. Ms.",GRN,1'062,2.2,*,-,3.6
, ,"Hein, J.",Lib,389,0.8,*,, 
, ,"Black, W.",TUSC,233,0.5,*,, 
, ,"Jacobsen, D.",Soc Lab,141,0.3,*,, 
, ,"MacIntyre, C.J.",Ind,128,0.3,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,1'724,3.6,, , 
Edinburgh South [230],59'362,73.8,"Murray, I.",Lab,15'215,34.7,,+,1.5
, ,"Mackintosh, F.",LD,14'899,34,,+,1.7
, ,"Hudson, N.",Con,9'452,21.6,,-,2.5
, ,"Howat, S.",SNP,3'354,7.7,,+,1.5
, ,"Burgess, S.",GRN,881,2,*,-,1.2
, , , ,-----,---,, , 
2005: Lab,, , ,316,0.7,, , 
Edinburgh South West [231],66'361,68.5,"Darling, A.*",Lab,19'473,42.8,,+,3
, ,"Rust, J.G.",Con,11'026,24.3,,+,1
, ,"McKay, T.C.",LD,8'194,18,,-,3
, ,"Stewart, K. Ms.",SNP,5'530,12.2,,+,1.6
, ,"Cooney, C. Ms.",GRN,872,1.9,*,-,1.5
, ,"Fox, C.A.",SSP,319,0.7,*,-,0.6
, ,"Bellamy, C. Ms.",Comm L,48,0.1,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,8'447,18.6,, , 
Edinburgh West [232],65'159,71.3,"Crockart, M.",LD,16'684,35.9,,-,13.6
, ,"Day, C.",Lab,12'881,27.7,,+,9.1
, ,"Geddes, S.",Con,10'767,23.2,,+,3.7
, ,"Cleland, S.M. Ms.",SNP,6'115,13.2,,+,4.1
, , , ,-----,---,, , 
2005: LD,, , ,3'803,8.2,, , 
Edmonton [233],63'904,63.2,"Love, A.*",Lab,21'665,53.7,,-,2.3
, ,"Charalambous, A.",Con,12'052,29.8,,+,2.3
, ,"Kilbane-Dawe, I.J.",LD,4'252,10.5,,-,1.5
, ,"Freshwater, R.A.",UKIP,1'036,2.6,*,+,0.3
, ,"Johnson, J.G.",GRN,516,1.3,*,-,1
, ,"Basarik, E.",Reform,379,0.9,*,, 
, ,"Morrison, C.",Ch P,350,0.9,*,, 
, ,"McLean, D.A.",Ind,127,0.3,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,9'613,23.8,, , 
Ellesmere Port and Neston [234],66'509,66.5,"Miller, A.P.*",Lab,19'750,44.6,,-,4.1
, ,"Penketh, S.P.",Con,15'419,34.9,,+,2.1
, ,"Aspinall, D.M.E. Ms.",LD,6'663,15.1,,-,0.7
, ,"Crocker, H.F.",UKIP,1'619,3.7,*,+,0.8
, ,"Starkey, J.C.",Ind,782,1.8,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,4'331,9.8,, , 
Elmet and Rothwell [235],77'724,71.8,"Shelbrooke, A.",Con,23'778,42.6,,+,8.1
, ,"Lewis, J.",Lab,19'257,34.5,,-,11.4
, ,"Golton, S.",LD,9'109,16.3,,-,1
, ,"Clayton, S.M.",BNP,1'802,3.2,*,+,0.9
, ,"Oddy, D.P.",UKIP,1'593,2.9,*,, 
, ,"Nolan, C.",Ind,250,0.4,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,4'521,8.1,, , 
Eltham [236],62'590,67,"Efford, C.S.*",Lab,17'416,41.5,,-,0.7
, ,"Gold, D.S.",Con,15'753,37.5,,+,2.9
, ,"Toole, S.T.",LD,5'299,12.6,,-,4.7
, ,"Woods, R.F.L. Ms.",BNP,1'745,4.2,*,+,1.6
, ,"Adams, R.",UKIP,1'011,2.4,*,-,0.4
, ,"Hayles, A.",GRN,419,1,*,, 
, ,"Tibby, M.",ED,217,0.5,*,, 
, ,"Graham, A.",Ind,104,0.2,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,1'663,4,, , 
Enfield North [237],66'261,67.1,"de Bois, N.",Con,18'804,42.3,,-,0.8
, ,"Ryan, J.M. Ms.*",Lab,17'112,38.5,,-,2.3
, ,"Smith, P.D.",LD,5'403,12.2,,+,0.7
, ,"Avery, T.",BNP,1'228,2.8,*,+,0.2
, ,"Jones, M. Ms.",UKIP,938,2.1,*,+,0.3
, ,"Linton, B.",GRN,489,1.1,*,, 
, ,"Williams, A.",Ch P,161,0.4,*,, 
, ,"Weald, R. Ms.",ED,131,0.3,*,, 
, ,"Athow, A.C. Ms.",WRP,96,0.2,*,, 
, ,"Daniels, G. Ms.",Ind,91,0.2,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,1'692,3.8,, , 
Enfield Southgate [238],64'139,69.1,"Burrowes, D.J.B.*",Con,21'928,49.4,,+,5.7
, ,"Charalambous, B.",Lab,14'302,32.2,,-,8.8
, ,"Khan, J.",LD,6'124,13.8,,+,2.7
, ,"Krakowiak, P.J.",GRN,632,1.4,*,-,1.4
, ,"Brock, B.",UKIP,505,1.1,*,-,0.1
, ,"Mukhopadhyay, A.",Ind,391,0.9,*,, 
, ,"Billoo, S.",Respect,174,0.4,*,, 
, ,"Weald, B.",ED,173,0.4,*,, 
, ,"Malakounides, M.",ND,88,0.2,*,, 
, ,"Sturgess, J.B.",BB,35,0.1,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,7'626,17.2,, , 
Epping Forest [239],72'186,64.5,"Laing, E.F. Ms.*",Con,25'148,54,,+,1.2
, ,"Haigh, A.M. Ms.",LD,10'017,21.5,,+,3.4
, ,"Curtis, K.E. Ms.",Lab,6'641,14.3,,-,7.2
, ,"Richardson, P.H. Ms.",BNP,1'982,4.3,*,+,0.2
, ,"Smith, A.G.",UKIP,1'852,4,*,+,1.7
, ,"Pepper, S.B.",GRN,659,1.4,*,, 
, ,"Sawyer, K. Ms.",ED,285,0.6,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,15'131,32.5,, , 
Epsom and Ewell [240],79'908,68.8,"Grayling, C.S.*",Con,30'868,56.2,,+,1.2
, ,"Lees, J.",LD,14'734,26.8,,+,5.3
, ,"Montgomery, C.",Lab,6'538,11.9,,-,8.1
, ,"Wallace, E. Ms.",UKIP,2'549,4.6,*,+,1.1
, ,"Ticher, P.",RRG,266,0.5,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,16'134,29.4,, , 
Erewash [241],69'655,68.4,"Lee, J.K. Ms.",Con,18'805,39.5,,+,10.4
, ,"Pidgeon, C.J. Ms.",Lab,16'304,34.2,,-,10.5
, ,"Garnett, M.C.",LD,8'343,17.5,,+,4
, ,"Bailey, M.",BNP,2'337,4.9,*,+,1.9
, ,"Sutton, J.L. Ms.",UKIP,855,1.8,*,-,0.1
, ,"Fletcher, L.C.",GRN,534,1.1,*,, 
, ,"Wilkins, L.S.O.",Ind,464,1,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,2'501,5.2,, , 
Erith and Thamesmead [242],69'900,60.8,"Pearce, T. Ms.",Lab,19'068,44.9,,-,7.7
, ,"Bloom, C.C.",Con,13'365,31.5,,+,5
, ,"Cunliffe, A.M.",LD,5'116,12,,-,0.8
, ,"Saunders, K.",BNP,2'184,5.1,,+,0.9
, ,"Perrin, P.M. Ms.",UKIP,1'139,2.7,*,-,1.1
, ,"Williams, L.",ED,465,1.1,*,, 
, ,"Akinoshun, A.",ND,438,1,*,, 
, ,"Cordle, S.C.",CPA,379,0.9,*,, 
, ,"Powley, M.D.A.",GRN,322,0.8,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,5'703,13.4,, , 
Esher and Walton [243],75'338,72.4,"Raab, D.",Con,32'134,58.9,,+,13.2
, ,"Blackman, L.F.",LD,13'541,24.8,,-,4.7
, ,"Eldergill, F.",Lab,5'829,10.7,,-,8.8
, ,"Collignon, B.M.",UKIP,1'783,3.3,*,-,0
, ,"Popham, T.",Ind,378,0.7,*,, 
, ,"Chinners, ",MRLP,341,0.6,*,, 
, ,"Kearsley, M.",ED,307,0.6,*,, 
, ,"Lear, A.",Best,230,0.4,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,18'593,34.1,, , 
Exeter [244],77'158,67.7,"Bradshaw, B.P.J.*",Lab,19'942,38.2,,-,4
, ,"Foster, H.M. Ms.",Con,17'221,33,,+,8.1
, ,"Oakes, G.J.",LD,10'581,20.3,,-,0.7
, ,"Crawford, K.M.",UKIP,1'930,3.7,*,+,0.3
, ,"Gale, C.G.",Lib,1'108,2.1,*,, 
, ,"Black, P.J. Ms.",GRN,792,1.5,*,-,2.3
, ,"Farmer, R.D.",BNP,673,1.3,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,2'721,5.2,, , 
Falkirk [245],81'869,62,"Joyce, E.*",Lab,23'207,45.7,,-,5.1
, ,"McNally, J.",SNP,15'364,30.3,,+,8.9
, ,"Mackie, K. Ms.",Con,5'698,11.2,,+,1.3
, ,"Leach, K.A.",LD,5'225,10.3,,-,5.7
, ,"Goldie, B.",UKIP,1'283,2.5,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,7'843,15.4,, , 
Fareham [246],75'915,71.6,"Hoban, M.G.*",Con,30'037,55.3,,+,5.6
, ,"Bentley, A.M.",LD,12'945,23.8,,+,2.1
, ,"Carr, J.W.",Lab,7'719,14.2,,-,11.4
, ,"Richards, S.A.",UKIP,2'235,4.1,*,+,1.2
