UK General Election Results 2001,,,,,,,,,,
Constituency,MP,Candidate,Party,Votes,%,Electorate,Majority,Turnout,Status,Declaration
,,Terry Jones,United Kingdom Independence,706,2.09%,,,,,
,,Andrew Graham,Independent,251,0.74%,,,,,
,,,,,,,,,,
Enfield North,,Joan Ryan,Labour,17888,46.90%,67756,2291,56.29%,Labour Hold,08/06/01 03:37
,,Nick Bois,Conservative,15597,40.89%,,,,,
,,Hilary Leighter,Liberal Democrat,3355,8.80%,,,,,
,,Ramon Johns,British National,605,1.59%,,,,,
,,Brian Hall,United Kingdom Independence,247,0.65%,,,,,
,,Michael Akerman,ProLife Alliance,241,0.63%,,,,,
,,Richard Course,Independent,210,0.55%,,,,,
,,,,,,,,,,
Enfield Southgate,,Stephen Twigg,Labour,21727,51.84%,66418,5546,63.10%,Labour Hold,08/06/01 02:55
,,John Flack,Conservative,16181,38.61%,,,,,
,,Wayne Hoban,Liberal Democrat,2935,7.00%,,,,,
,,Elaine Graham-Leigh,Green,662,1.58%,,,,,
,,Roy Freshwater,United Kingdom Independence,298,0.71%,,,,,
,,Andrew Malakouna,Independent,105,0.25%,,,,,
,,,,,,,,,,
Epping Forest,,Eleanor Laing,Conservative,20833,49.12%,72645,8426,58.39%,Conservative Hold,08/06/01 02:24
,,Christopher Naylor,Labour,12407,29.25%,,,,,
,,Michael Heavens,Liberal Democrat,7884,18.59%,,,,,
,,Andrew Smith,United Kingdom Independence,1290,3.04%,,,,,
,,,,,,,,,,
Epsom and Ewell,,Chris Grayling,Conservative,22430,48.09%,74266,10080,62.81%,Conservative Hold,08/06/01 02:38
,,Charles Mansell,Labour,12350,26.48%,,,,,
,,John Vincent,Liberal Democrat,10316,22.12%,,,,,
,,Graham Webster-Gardiner,United Kingdom Independence,1547,3.32%,,,,,
,,,,,,,,,,
Erewash,,Liz Blackman,Labour,23915,49.21%,78484,6932,61.92%,Labour Hold,08/06/01 04:00
,,Gregor MacGregor,Conservative,16983,34.95%,,,,,
,,Martin Garnett,Liberal Democrat,5586,11.49%,,,,,
,,Louise Smith,United Kingdom Independence,692,1.42%,,,,,
,,Steven Belshaw,British National,591,1.22%,,,,,
,,R U Seerius,Monster Raving Loony,428,0.88%,,,,,
,,Peter Waldock,Socialist Labour,401,0.83%,,,,,
,,,,,,,,,,
Erith and Thamesmead,,John Austin,Labour,19769,59.28%,66371,11167,50.25%,Labour Hold,08/06/01 02:13
,,Mark Brooks,Conservative,8602,25.79%,,,,,
,,James Kempton,Liberal Democrat,3800,11.39%,,,,,
,,Hardev Dhillon,Socialist Labour,1180,3.54%,,,,,
,,,,,,,,,,
Esher and Walton,,Ian Taylor,Conservative,22296,48.97%,73541,11538,61.91%,Conservative Hold,08/06/01 03:09
,,Joe McGowan,Labour,10758,23.63%,,,,,
,,Mark Marsh,Liberal Democrat,10241,22.49%,,,,,
,,Bernard Collignon,United Kingdom Independence,2236,4.91%,,,,,
,,,,,,,,,,
Essex North,,Bernard Jenkin,Conservative,21325,47.45%,71680,7186,62.70%,Conservative Hold,08/06/01 02:49
,,Philip Hawkins,Labour,14139,31.46%,,,,,
,,Trevor Ellis,Liberal Democrat,7867,17.50%,,,,,
,,George Curtis,United Kingdom Independence,1613,3.59%,,,,,
,,,,,,,,,,
Exeter,,Ben Bradshaw,Labour,26194,49.78%,81942,11759,64.21%,Labour Hold,08/06/01 02:28
,,Anne Jobson,Conservative,14435,27.43%,,,,,
,,Richard Copus,Liberal Democrat,6512,12.38%,,,,,
,,David Morrish,Liberal,2596,4.93%,,,,,
,,Paul Edwards,Green,1240,2.36%,,,,,
,,John Stuart,United Kingdom Independence,1109,2.11%,,,,,
,,Francis Choules,Socialist Alliance,530,1.01%,,,,,
,,,,,,,,,,
Falkirk East,,Michael Connarty,Labour,18536,55.00%,57633,10712,58.48%,Labour Hold,08/06/01 00:47
,,Isabel Hutton,Scottish National,7824,23.22%,,,,,
,,Bill Stevenson,Conservative,3252,9.65%,,,,,
,,Karen Utting,Liberal Democrat,2992,8.88%,,,,,
,,Tony Weir,Scottish Socialist,725,2.15%,,,,,
,,Raymond Stead,Socialist Labour,373,1.11%,,,,,
,,,,,,,,,,
Falkirk West,,Eric Joyce,Labour,16022,51.87%,53583,8532,57.65%,Labour Hold,08/06/01 01:05
,,David Kerr,Scottish National,7490,24.25%,,,,,
,,Simon Murray,Conservative,2321,7.51%,,,,,
,,Hugh O'Donnell,Liberal Democrat,2203,7.13%,,,,,
,,William Buchanan,Independent,1464,4.74%,,,,,
,,Mhairi McAlpine,Scottish Socialist,707,2.29%,,,,,
,,Hugh Lynch,Independent,490,1.59%,,,,,
,,Ronnie Forbes,Socialist Labour,194,0.63%,,,,,
,,,,,,,,,,
Falmouth and Camborne,,Candy Atherton,Labour,18532,39.58%,72833,4527,64.28%,Labour Hold,08/06/01 03:48
,,Nick Serpell,Conservative,14005,29.91%,,,,,
,,Julian Brazil,Liberal Democrat,11453,24.46%,,,,,
,,John Browne,United Kingdom Independence,1328,2.84%,,,,,
,,Hilda Wasley,Mebyon Kernow,853,1.82%,,,,,
,,Paul Holmes,Liberal,649,1.39%,,,,,
,,,,,,,,,,
Fareham,,Mark Hoban,Conservative,21389,47.06%,72678,7009,62.53%,Conservative Hold,08/06/01 03:10
,,James Carr,Labour,14380,31.64%,,,,,
,,Hugh Pritchard,Liberal Democrat,8503,18.71%,,,,,
,,William O'Brien,United Kingdom Independence,1175,2.59%,,,,,
,,,,,,,,,,
Faversham and Kent Mid,,Hugh Robertson,Conservative,18739,45.65%,67995,4183,60.37%,Conservative Hold,08/06/01 02:53
,,Grahame Birchall,Labour,14556,35.46%,,,,,
,,Mike Sole,Liberal Democrat,5529,13.47%,,,,,
,,Jim Gascoyne,United Kingdom Independence,828,2.02%,,,,,
,,Penny Kemp,Green,799,1.95%,,,,,
,,Norman Davidson,Rock 'n' Roll Loony,600,1.46%,,,,,
,,,,,,,,,,
Feltham and Heston,,Alan Keen,Labour/Co-operative,21406,59.17%,73229,12657,49.40%,Labour/Co-operative Hold,08/06/01 02:02
,,Liz Mammatt,Conservative,8749,24.18%,,,,,
,,Andy Darley,Liberal Democrat,4998,13.82%,,,,,
,,Surinder Cheema,Socialist Labour,651,1.80%,,,,,
,,Warwick Prachar,Independent,204,0.56%,,,,,
,,Asa Khaira,Independent,169,0.47%,,,,,
,,,,,,,,,,
Fermanagh and South Tyrone,,Michelle Gildernew,Sinn Féin,17739,34.13%,66640,53,77.99%,Sinn Féin Gain,08/06/01 22:17
,,James Cooper,Ulster Unionist,17686,34.03%,,,,,
,,Tommy Gallagher,Social Democratic and Labour,9706,18.67%,,,,,
,,Jim Dixon,Independent,6843,13.17%,,,,,
,,,,,,,,,,
Fife Central,,John MacDougall,Labour,18310,56.32%,59597,10075,54.55%,Labour Hold,08/06/01 00:28
,,David Alexander,Scottish National,8235,25.33%,,,,,
,,Elizabeth Riches,Liberal Democrat,2775,8.54%,,,,,
,,Jeremy Balfour,Conservative,2351,7.23%,,,,,
,,Morag Balfour,Scottish Socialist,841,2.59%,,,,,
,,,,,,,,,,
Fife North East,,Menzies Campbell,Liberal Democrat,17926,51.67%,61900,9736,56.05%,Liberal Democrat Hold,08/06/01 00:44
,,Mike Scott-Hayward,Conservative,8190,23.61%,,,,,
,,Claire Brennan,Labour,3950,11.39%,,,,,
,,Kris Murray-Browne,Scottish National,3596,10.37%,,,,,
,,Keith White,Scottish Socialist,610,1.76%,,,,,
,,Leslie Vo Goetz,Legalise Cannabis Alliance,420,1.21%,,,,,
,,,,,,,,,,
Finchley and Golders Green,,Rudi Vis,Labour,20205,46.26%,76175,3716,57.34%,Labour Hold,08/06/01 02:14
,,John Marshall,Conservative,16489,37.75%,,,,,
,,Sarah Teather,Liberal Democrat,5266,12.06%,,,,,
,,Miranda Dunn,Green,1385,3.17%,,,,,
,,John de Roeck,United Kingdom Independence,330,0.76%,,,,,
,,,,,,,,,,
Folkestone and Hythe,,Michael Howard,Conservative,20645,45.02%,71503,5907,64.13%,Conservative Hold,08/06/01 03:48
,,Peter Carroll,Liberal Democrat,14738,32.14%,,,,,
,,Albert Catterall,Labour,9260,20.19%,,,,,
,,John Baker,United Kingdom Independence,1212,2.64%,,,,,
,,,,,,,,,,
Forest of Dean,,Diana Organ,Labour,19350,43.38%,66240,2049,67.34%,Labour Hold,08/06/01 05:44
,,Mark Harper,Conservative,17301,38.79%,,,,,
,,David Gayler,Liberal Democrat,5762,12.92%,,,,,
,,Simon Pickering,Green,1254,2.81%,,,,,
,,Allen Prout,United Kingdom Independence,661,1.48%,,,,,
,,Gerald Morgan,Independent,279,0.63%,,,,,
,,,,,,,,,,
Foyle,,John Hume,Social Democratic and Labour,24538,50.20%,70943,11550,68.90%,Social Democratic and Labour Hold,08/06/01 18:23
,,Mitchel McLaughlin,Sinn Féin,12988,26.57%,,,,,
,,William Hay,Democratic Unionist,7414,15.17%,,,,,
,,Andrew Davidson,Ulster Unionist,3360,6.87%,,,,,
,,Colm Cavanagh,Alliance,579,1.18%,,,,,
,,,,,,,,,,
Fylde,,Michael Jack,Conservative,23383,52.27%,72207,9610,61.96%,Conservative Hold,08/06/01 02:53
,,John Stockton,Labour,13773,30.79%,,,,,
,,John Begg,Liberal Democrat,6599,14.75%,,,,,
,,Lesley Brown,United Kingdom Independence,982,2.20%,,,,,
,,,,,,,,,,
Gainsborough,,Edward Leigh,Conservative,19555,46.21%,65871,8071,64.25%,Conservative Hold,08/06/01 04:30
,,Alan Rhodes,Labour,11484,27.14%,,,,,
,,Steve Taylor,Liberal Democrat,11280,26.65%,,,,,
,,,,,,,,,,
Galloway and Upper Nithsdale,,Peter Duncan,Conservative,12222,34.03%,52756,74,68.08%,Conservative Gain,08/06/01 03:08
,,Malcolm Fleming,Scottish National,12148,33.83%,,,,,
,,Thomas Sloan,Labour,7258,20.21%,,,,,
,,Neil Wallace,Liberal Democrat,3698,10.30%,,,,,
,,Andy Harvey,Scottish Socialist,588,1.64%,,,,,
,,,,,,,,,,
Gateshead East and Washington West,,Joyce Quin,Labour,22903,68.13%,64041,17904,52.49%,Labour Hold,08/06/01 00:55
,,Ron Beadle,Liberal Democrat,4999,14.87%,,,,,
,,Elizabeth Campbell,Conservative,4970,14.79%,,,,,
,,Martin Rouse,United Kingdom Independence,743,2.21%,,,,,
,,,,,,,,,,
Gedling,,Vernon Coaker,Labour,22383,51.08%,68540,5598,63.93%,Labour Hold,08/06/01 01:57
,,Jonathan Bullock,Conservative,16785,38.31%,,,,,
,,Tony Gillam,Liberal Democrat,4648,10.61%,,,,,
,,,,,,,,,,
Gillingham,,Paul Clark,Labour,18782,44.49%,70898,2272,59.54%,Labour Hold,08/06/01 02:49
,,Tim Butcher,Conservative,16510,39.11%,,,,,
,,Jonathan Hunt,Liberal Democrat,5755,13.63%,,,,,
,,Tony Scholefield,United Kingdom Independence,933,2.21%,,,,,
,,Wynford Vaughan,Socialist Alliance,232,0.55%,,,,,
,,,,,,,,,,
Glasgow Anniesland,,John Robertson,Labour,15102,56.52%,53290,11054,50.14%,Labour Hold,08/06/01 02:21
,,Grant Thoms,Scottish National,4048,15.15%,,,,,
,,Christopher McGinty,Liberal Democrat,3244,12.14%,,,,,
,,Stewart Connell,Conservative,2651,9.92%,,,,,
,,Charlie McCarthy,Scottish Socialist,1486,5.56%,,,,,
,,Katherine McGavigan,Socialist Labour,191,0.71%,,,,,
,,,,,,,,,,
Glasgow Baillieston,,Jimmy Wray,Labour,14200,61.05%,49268,9839,47.21%,Labour Hold,08/06/01 02:38
,,Lachlan McNeill,Scottish National,4361,18.75%,,,,,
,,David Comrie,Conservative,1580,6.79%,,,,,
,,Jim McVicar,Scottish Socialist,1569,6.75%,,,,,
,,Charles Dundas,Liberal Democrat,1551,6.67%,,,,,
,,,,,,,,,,
Glasgow Cathcart,,Tom Harris,Labour,14902,54.41%,52094,10816,52.57%,Labour Hold,08/06/01 01:36
,,Josephine Docherty,Scottish National,4086,14.92%,,,,,
,,Richard Cook,Conservative,3662,13.37%,,,,,
,,Tom Henery,Liberal Democrat,3006,10.98%,,,,,
,,Ronnie Stevenson,Scottish Socialist,1730,6.32%,,,,,
,,,,,,,,,,
Glasgow Govan,,Mohammad Sarwar,Labour,12464,49.30%,54068,6400,46.76%,Labour Hold,08/06/01 01:45
,,Karen Neary,Scottish National,6064,23.98%,,,,,
,,Bob Stewart,Liberal Democrat,2815,11.13%,,,,,
,,Mark Menzies,Conservative,2167,8.57%,,,,,
,,Willie McGartland,Scottish Socialist,1531,6.06%,,,,,
,,John Foster,Communist of Britain,174,0.69%,,,,,
,,Badar Mirza,Independent,69,0.27%,,,,,
,,,,,,,,,,
Glasgow Kelvin,,George Galloway,Labour,12014,44.83%,61534,7260,43.56%,Labour Hold,08/06/01 02:04
,,Tamsin Mayberry,Liberal Democrat,4754,17.74%,,,,,
,,Frank Rankin,Scottish National,4513,16.84%,,,,,
,,Davina Rankin,Conservative,2388,8.91%,,,,,
,,Heather Ritchie,Scottish Socialist,1847,6.89%,,,,,
,,Tim Shand,Green,1286,4.80%,,,,,
,,,,,,,,,,
Glasgow Maryhill,,Ann McKechin,Labour,13420,60.37%,55431,9888,40.11%,Labour Hold,08/06/01 01:19
,,Alex Dingwall,Scottish National,3532,15.89%,,,,,
,,Stuart Callison,Liberal Democrat,2372,10.67%,,,,,
,,Gordon Scott,Scottish Socialist,1745,7.85%,,,,,
,,Gawain Towler,Conservative,1162,5.23%,,,,,
,,,,,,,,,,
Glasgow Pollok,,Ian Davidson,Labour/Co-operative,15487,61.39%,49201,11268,51.27%,Labour/Co-operative Hold,08/06/01 02:26
,,David Ritchie,Scottish National,4219,16.72%,,,,,
,,Keith Baldassara,Scottish Socialist,2512,9.96%,,,,,
,,Isabel Nelson,Liberal Democrat,1602,6.35%,,,,,
,,Rory O'Brien,Conservative,1407,5.58%,,,,,
,,,,,,,,,,
Glasgow Rutherglen,,Tommy McAvoy,Labour/Co-operative,16760,57.37%,51855,12625,56.34%,Labour/Co-operative Hold,08/06/01 00:20
,,Anne McLaughlin,Scottish National,4135,14.15%,,,,,
,,David Jackson,Liberal Democrat,3689,12.63%,,,,,
,,Malcolm Macaskill,Conservative,3301,11.30%,,,,,
,,William Bonnar,Scottish Socialist,1328,4.55%,,,,,
,,,,,,,,,,
Glasgow Shettleston,,David Marshall,Labour,13235,64.67%,51557,9818,39.69%,Labour Hold,08/06/01 01:55
,,Jim Byrne,Scottish National,3417,16.70%,,,,,
,,Rosie Kane,Scottish Socialist,1396,6.82%,,,,,
,,Lewis Hutton,Liberal Democrat,1105,5.40%,,,,,
,,Campbell Murdoch,Conservative,1082,5.29%,,,,,
,,Murdo Ritchie,Socialist Labour,230,1.12%,,,,,
,,,,,,,,,,
Glasgow Springburn,,Michael Martin,The Speaker,16053,66.60%,55192,11378,43.67%,The Speaker Gain,08/06/01 01:27
,,Sandy Bain,Scottish National,4675,19.40%,,,,,
,,Carolyn Leckie,Scottish Socialist,1879,7.80%,,,,,
,,Daniel Houston,Scottish Unionist,1289,5.35%,,,,,
,,Richard Silvester,Independent,208,0.86%,,,,,
,,,,,,,,,,
Gloucester,,Parmjit Dhanda,Labour,22067,45.76%,81144,3880,59.43%,Labour Hold,08/06/01 02:41
,,Paul James,Conservative,18187,37.71%,,,,,
,,Tim Bullamore,Liberal Democrat,6875,14.26%,,,,,
,,Terry Lines,United Kingdom Independence,822,1.70%,,,,,
,,Stewart Smyth,Socialist Alliance,272,0.56%,,,,,
,,,,,,,,,,
Gordon,,Malcolm G Bruce,Liberal Democrat,15928,45.51%,59996,7879,58.34%,Liberal Democrat Hold,08/06/01 01:33
,,Nanette Milne,Conservative,8049,23.00%,,,,,
,,Rhona Kemp,Scottish National,5760,16.46%,,,,,
,,Ellis Thorpe,Labour,4730,13.51%,,,,,
,,John Sangster,Scottish Socialist,534,1.53%,,,,,
,,,,,,,,,,
Gosport,,Peter J Viggers,Conservative,17364,43.64%,69626,2621,57.15%,Conservative Hold,08/06/01 04:23
,,Richard Williams,Labour,14743,37.05%,,,,,
,,Roger Roberts,Liberal Democrat,6011,15.11%,,,,,
,,John Bowles,United Kingdom Independence,1162,2.92%,,,,,
,,Kevin Chetwynd,Socialist Labour,509,1.28%,,,,,
,,,,,,,,,,
Gower,,Martin Caton,Labour,17676,47.32%,58943,7395,63.37%,Labour Hold,08/06/01 02:10
,,John Bushell,Conservative,10281,27.52%,,,,,
,,Sheila Waye,Liberal Democrat,4507,12.07%,,,,,
,,Siân Caiach,Plaid Cymru,3865,10.35%,,,,,
,,Tina Shrewsbury,Green,607,1.63%,,,,,
,,Darran Hickery,Socialist Labour,417,1.12%,,,,,
,,,,,,,,,,
Grantham and Stamford,,Quentin Davies,Conservative,21329,46.08%,74459,4518,62.17%,Conservative Hold,08/06/01 03:22
,,John Robinson,Labour,16811,36.32%,,,,,
,,Jane Carr,Liberal Democrat,6665,14.40%,,,,,
,,Marilyn Swain,United Kingdom Independence,1484,3.21%,,,,,
,,,,,,,,,,
Gravesham,,Chris Pond,Labour,21773,49.89%,69590,4862,62.71%,Labour Hold,08/06/01 02:42
,,Jacques Arnold,Conservative,16911,38.75%,,,,,
,,Bruce Parmenter,Liberal Democrat,4031,9.24%,,,,,
,,William Jenner,United Kingdom Independence,924,2.12%,,,,,
,,,,,,,,,,
Great Grimsby,,Austin Mitchell,Labour,19118,57.90%,63157,11484,52.28%,Labour Hold,08/06/01 01:06
,,James Cousins,Conservative,7634,23.12%,,,,,
,,Andrew d'Freitas,Liberal Democrat,6265,18.98%,,,,,
,,,,,,,,,,
Great Yarmouth,,Tony Wright,Labour,20344,50.40%,69131,4564,58.39%,Labour Hold,08/06/01 02:41
,,Charles Reynolds,Conservative,15780,39.09%,,,,,
,,Maurice Leeke,Liberal Democrat,3392,8.40%,,,,,
,,Bertie Poole,United Kingdom Independence,850,2.11%,,,,,
,,,,,,,,,,
Greenock and Inverclyde,,David Cairns,Labour,14929,52.53%,47884,9890,59.35%,Labour Hold,08/06/01 00:30
,,Chic Brodie,Liberal Democrat,5039,17.73%,,,,,
,,Andrew Murie,Scottish National,4248,14.95%,,,,,
,,Alistair Haw,Conservative,3000,10.56%,,,,,
,,Davey Landels,Scottish Socialist,1203,4.23%,,,,,
,,,,,,,,,,
Greenwich and Woolwich,,Nick Raynsford,Labour,19691,60.52%,62530,13433,52.03%,Labour Hold,08/06/01 03:14
,,Richard Forsdyke,Conservative,6258,19.23%,,,,,
,,Russell Pyne,Liberal Democrat,5082,15.62%,,,,,
,,Stan Gain,United Kingdom Independence,672,2.07%,,,,,
,,Kirstie Paton,Socialist Alliance,481,1.48%,,,,,
,,Margaret Sharkey,Socialist Labour,352,1.08%,,,,,
,,,,,,,,,,
Guildford,,Sue Doughty,Liberal Democrat,20358,42.55%,76046,538,62.91%,Liberal Democrat Gain,08/06/01 02:14
,,Nick Aubyn,Conservative,19820,41.43%,,,,,
,,Joyce Still,Labour,6558,13.71%,,,,,
,,Sonya Porter,United Kingdom Independence,736,1.54%,,,,,
,,John Morris,"Pacifist for Peace, Justice, Cooperation, Environment",370,0.77%,,,,,
,,,,,,,,,,
Hackney North and Stoke Newington,,Diane Abbott,Labour,18081,61.04%,60444,13651,49.01%,Labour Hold,08/06/01 03:28
,,Pauline Dye,Conservative,4430,14.96%,,,,,
,,Meral Ece,Liberal Democrat,4170,14.08%,,,,,
,,Chit Yen Chong,Green,2184,7.37%,,,,,
,,Sukant Chandan,Socialist Labour,756,2.55%,,,,,
,,,,,,,,,,
Hackney South and Shoreditch,,Brian Sedgemore,Labour,19471,64.16%,63990,15049,47.42%,Labour Hold,08/06/01 03:39
,,Tony Vickers,Liberal Democrat,4422,14.57%,,,,,
,,Paul White,Conservative,4180,13.77%,,,,,
,,Cecilia Prosper,Socialist Alliance,1401,4.62%,,,,,
,,Saim Kokshal,Reform 2000,471,1.55%,,,,,
,,Ivan Beavis,Communist of Britain,259,0.85%,,,,,
,,William Rogers,Workers' Revolutionary,143,0.47%,,,,,
,,,,,,,,,,
Halesowen and Rowley Regis,,Sylvia Heal,Labour,20804,52.97%,65683,7359,59.79%,Labour Hold,08/06/01 01:29
,,Les Jones,Conservative,13445,34.23%,,,,,
,,Patrick Harley,Liberal Democrat,4089,10.41%,,,,,
,,Alan Sheath,United Kingdom Independence,936,2.38%,,,,,
,,,,,,,,,,
Halifax,,Alice Mahon,Labour,19800,49.02%,69870,6129,57.81%,Labour Hold,08/06/01 01:22
,,James Walsh,Conservative,13671,33.85%,,,,,
,,John Durkin,Liberal Democrat,5878,14.55%,,,,,
,,Helen Martinek,United Kingdom Independence,1041,2.58%,,,,,
,,,,,,,,,,
Haltemprice and Howden,,David Davis,Conservative,18994,43.24%,67055,1903,65.51%,Conservative Hold,08/06/01 02:46
,,John Neal,Liberal Democrat,17091,38.91%,,,,,
,,Leslie Howell,Labour,6898,15.70%,,,,,
,,Joanne Robinson,United Kingdom Independence,945,2.15%,,,,,
,,,,,,,,,,
Halton,,Derek Twigg,Labour,23841,69.16%,63673,17428,54.14%,Labour Hold,08/06/01 01:35
,,Chris Davenport,Conservative,6413,18.60%,,,,,
,,Peter Walker,Liberal Democrat,4216,12.23%,,,,,
,,,,,,,,,,
Hamilton North and Bellshill,,John Reid,Labour,18786,61.79%,53539,13561,56.79%,Labour Hold,08/06/01 00:58
,,Chris Stephens,Scottish National,5225,17.19%,,,,,
,,William Frai Bell,Conservative,2649,8.71%,,,,,
,,Keith Legg,Liberal Democrat,2360,7.76%,,,,,
,,Shareen Blackall,Scottish Socialist,1189,3.91%,,,,,
,,Steve Mayes,Socialist Labour,195,0.64%,,,,,
,,,,,,,,,,
Hamilton South,,Bill Tynan,Labour,15965,59.68%,46665,10775,57.32%,Labour Hold,07/06/01 23:21
,,John Wilson,Scottish National,5190,19.40%,,,,,
,,John Oswald,Liberal Democrat,2381,8.90%,,,,,
,,Neil Richardson,Conservative,1876,7.01%,,,,,
,,Gena Mitchell,Scottish Socialist,1187,4.44%,,,,,
,,Janice Murdoch,United Kingdom Independence,151,0.56%,,,,,
,,,,,,,,,,
Hammersmith and Fulham,,Iain Coleman,Labour,19801,44.30%,79302,2015,56.37%,Labour Hold,08/06/01 02:29
,,Matthew Carrington,Conservative,17786,39.79%,,,,,
,,Jon Burden,Liberal Democrat,5294,11.84%,,,,,
,,Daniel Lopez Dias,Green,1444,3.23%,,,,,
,,Gerald Roberts,United Kingdom Independence,375,0.84%,,,,,
,,,,,,,,,,
Hampshire East,,Michael Mates,Conservative,23950,47.62%,78802,8890,63.82%,Conservative Hold,08/06/01 04:04
,,Robert Booker,Liberal Democrat,15060,29.95%,,,,,
,,Barbara Burfoot,Labour,9866,19.62%,,,,,
,,Stephen R Coles,United Kingdom Independence,1413,2.81%,,,,,
,,,,,,,,,,
Hampshire North East,,James Arbuthnot,Conservative,23379,53.20%,71323,13257,61.62%,Conservative Hold,08/06/01 04:40
,,Mike Plummer,Liberal Democrat,10122,23.03%,,,,,
,,Barry Jones,Labour,8744,19.90%,,,,,
,,Graham Mellstrom,United Kingdom Independence,1702,3.87%,,,,,
,,,,,,,,,,
Hampshire North West,,George Young,Conservative,24374,50.12%,76359,12009,63.69%,Conservative Hold,08/06/01 06:18
,,Mick Mumford,Labour,12365,25.43%,,,,,
,,Alex Bentley,Liberal Democrat,10329,21.24%,,,,,
,,Stanley Oram,United Kingdom Independence,1563,3.21%,,,,,
,,,,,,,,,,
Hampstead and Highgate,,Glenda Jackson,Labour,16601,46.89%,65309,7876,54.21%,Labour Hold,08/06/01 02:02
,,Andrew Mennear,Conservative,8725,24.64%,,,,,
,,Jonathan Simpson,Liberal Democrat,7273,20.54%,,,,,
,,Andrew Cornwell,Green,1654,4.67%,,,,,
,,Helen Cooper,Socialist Alliance,559,1.58%,,,,,
,,Thomas McDermott,United Kingdom Independence,316,0.89%,,,,,
,,Sister XNunoftheabove,Independent,144,0.41%,,,,,
,,Mary Teale,ProLife Alliance,92,0.26%,,,,,
,,Amos Klein,Independent,43,0.12%,,,,,
,,,,,,,,,,
Harborough,,Edward Garnier,Conservative,20748,44.69%,73300,5252,63.34%,Conservative Hold,08/06/01 03:40
,,Jill Hope,Liberal Democrat,15496,33.38%,,,,,
,,Raj Jethwa,Labour,9271,19.97%,,,,,
,,David Knight,United Kingdom Independence,912,1.96%,,,,,
,,,,,,,,,,
Harlow,,Bill Rammell,Labour,19169,47.79%,67074,5228,59.81%,Labour Hold,08/06/01 04:14
,,Robert Halfon,Conservative,13941,34.75%,,,,,
,,Lorna Spenceley,Liberal Democrat,5381,13.41%,,,,,
,,Tony Bennett,United Kingdom Independence,1223,3.05%,,,,,
,,John Hobbs,Socialist Alliance,401,1.00%,,,,,
,,,,,,,,,,
Harrogate and Knaresborough,,Phil Willis,Liberal Democrat,23445,55.58%,65185,8845,64.71%,Liberal Democrat Hold,08/06/01 02:02
,,Andrew Jones,Conservative,14600,34.61%,,,,,
,,Alastair MacDonald,Labour,3101,7.35%,,,,,
,,Bill Brown,United Kingdom Independence,761,1.80%,,,,,
,,John Cornforth,ProLife Alliance,272,0.64%,,,,,
,,,,,,,,,,
Harrow East,,Tony McNulty,Labour,26590,55.31%,81575,11124,58.94%,Labour Hold,08/06/01 03:39
,,Peter Wilding,Conservative,15466,32.17%,,,,,
,,George Kershaw,Liberal Democrat,6021,12.52%,,,,,
,,,,,,,,,,
Harrow West,,Gareth Thomas,Labour,23142,49.61%,73505,6156,63.46%,Labour Hold,08/06/01 03:48
,,Danny Finkelstein,Conservative,16986,36.41%,,,,,
,,Christopher Noyce,Liberal Democrat,5995,12.85%,,,,,
,,Peter Kefford,United Kingdom Independence,525,1.13%,,,,,
,,,,,,,,,,
Hartlepool,,Peter Mandelson,Labour,22506,59.15%,67652,14571,56.25%,Labour Hold,08/06/01 01:46
,,Gus Robinson,Conservative,7935,20.85%,,,,,
,,Nigel Boddy,Liberal Democrat,5717,15.02%,,,,,
,,Arthur Scargill,Socialist Labour,912,2.40%,,,,,
,,Ian Cameron,Independent,557,1.46%,,,,,
,,John Booth,Independent,424,1.11%,,,,,
,,,,,,,,,,
Harwich,,Ivan Henderson,Labour,21951,45.62%,77539,2596,62.05%,Labour Hold,08/06/01 02:32
,,Ian Sproat,Conservative,19355,40.23%,,,,,
,,Peter Wilcock,Liberal Democrat,4099,8.52%,,,,,
,,Tony Finnegan-Butler,United Kingdom Independence,2463,5.12%,,,,,
,,Clive Lawrance,Independent,247,0.51%,,,,,
,,,,,,,,,,
Hastings and Rye,,Michael Foster,Labour,19402,47.07%,70632,4308,58.36%,Labour Hold,08/06/01 02:45
,,Mark Coote,Conservative,15094,36.62%,,,,,
,,Graem Peters,Liberal Democrat,4266,10.35%,,,,,
,,Alan Coomber,United Kingdom Independence,911,2.21%,,,,,
,,Sally Phillips,Green,721,1.75%,,,,,
,,Gillian Bargery,Independent,486,1.18%,,,,,
,,John Ord-Clarke,Monster Raving Loony,198,0.48%,,,,,
,,Brett McLean,Rock 'n' Roll Loony,140,0.34%,,,,,
,,,,,,,,,,
Havant,,David Willetts,Conservative,17769,43.94%,70246,4207,57.56%,Conservative Hold,08/06/01 02:08
,,Peter Guthrie,Labour,13562,33.54%,,,,,
,,Helena Cole,Liberal Democrat,7508,18.57%,,,,,
,,Kevin Jacks,Green,793,1.96%,,,,,
,,Tim Cuell,United Kingdom Independence,561,1.39%,,,,,
,,Roy Stanley,Independent,244,0.60%,,,,,
,,,,,,,,,,
Hayes and Harlington,,John McDonnell,Labour,21279,65.67%,57561,13466,56.29%,Labour Hold,08/06/01 02:18
,,Robert McLean,Conservative,7813,24.11%,,,,,
,,Nahid Boethe,Liberal Democrat,1958,6.04%,,,,,
